Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1787.0,1960.0,1551.0,1704.0,1919.0,2105.0,2158.0,2070.0,2105.0,2116.0,2182.0
Gross Margin %,40.5,42.6,45.1,44.7,44.2,45.7,45.2,45.2,45.8,47.9,47.8
Operating Income USD Mil,168.0,194.0,122.0,158.0,91.0,103.0,228.0,165.0,251.0,283.0,288.0
Operating Margin %,9.4,9.9,7.9,9.2,4.7,4.9,10.6,8.0,11.9,13.4,13.2
Net Income USD Mil,132.0,126.0,86.0,391.0,8.0,70.0,167.0,158.0,212.0,234.0,399.0
Earnings Per Share USD,1.09,1.07,0.73,3.31,0.07,0.61,1.47,1.39,1.87,2.12,3.6
Dividends USD,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
Payout Ratio % *,25.2,26.4,35.0,24.3,26.2,46.7,37.8,16.1,18.1,13.2,12.0
Shares Mil,121.0,119.0,117.0,118.0,114.0,115.0,114.0,114.0,113.0,110.0,111.0
Book Value Per Share * USD,13.4,13.28,13.95,16.31,17.2,16.86,17.04,18.34,18.35,19.49,23.01
Operating Cash Flow USD Mil,205.0,218.0,149.0,164.0,225.0,152.0,159.0,282.0,287.0,351.0,309.0
Cap Spending USD Mil,-47.0,-43.0,-32.0,-34.0,-31.0,-42.0,-39.0,-29.0,-30.0,-32.0,-30.0
Free Cash Flow USD Mil,158.0,175.0,117.0,131.0,194.0,110.0,119.0,253.0,257.0,319.0,279.0
Free Cash Flow Per Share * USD,1.3,1.47,1.0,1.1,1.18,0.96,0.67,2.0,2.06,2.61,
Working Capital USD Mil,295.0,315.0,388.0,570.0,262.0,391.0,442.0,471.0,472.0,587.0,
