Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,37.61,34.69,39.75,28.56,29.82,16.89,23.46,20.64,19.12,21.32,22.94
Accounts Receivable,6.36,7.19,6.06,6.07,6.79,7.47,6.29,7.4,8.57,9.45,8.22
Inventory,,,,,,,,,,,
Other Current Assets,6.75,6.34,3.99,3.34,3.13,3.14,3.47,3.47,3.3,2.0,2.2
Total Current Assets,50.72,48.22,49.81,37.97,39.74,27.5,33.22,31.51,30.99,32.76,33.36
Net PP&E,5.04,5.29,5.0,4.52,4.74,4.61,4.53,5.22,5.21,4.9,4.61
Intangibles,32.32,36.99,35.03,46.11,44.11,58.91,53.03,54.88,56.18,53.14,51.22
Other Long-Term Assets,11.92,9.51,10.16,11.4,11.42,8.98,9.22,8.4,7.61,9.19,10.8
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,0.44,0.84,0.34,0.5,0.21,0.72,0.2,0.59,0.2,0.26,0.35
Short-Term Debt,,,,,,0.72,0.69,0.63,4.06,3.91,5.25
Taxes Payable,,,0.19,0.25,0.09,0.11,0.16,0.66,0.39,0.43,0.29
Accrued Liabilities,16.89,10.25,,8.72,8.77,8.52,8.02,7.73,7.44,7.4,6.75
Other Short-Term Liabilities,22.06,22.05,27.19,18.58,20.89,20.13,18.99,19.44,19.19,20.72,18.43
Total Current Liabilities,39.39,33.14,27.72,28.05,29.96,30.2,28.06,29.04,31.28,32.73,31.07
Long-Term Debt,,,,,,2.53,1.72,0.94,,,2.43
Other Long-Term Liabilities,5.73,11.13,9.53,8.05,7.64,6.95,6.26,6.02,6.61,6.3,6.23
Total Liabilities,45.12,44.27,37.25,36.1,37.6,39.68,36.03,36.0,37.89,39.03,39.72
Total Stockholders' Equity,54.88,55.73,62.75,63.9,62.4,60.32,63.97,64.0,62.11,60.97,60.28
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
