Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,0.56,5.91,0.72,0.6,5.31,4.54,5.36,0.21,0.26,0.24,0.15
Accounts Receivable,14.96,18.24,26.7,1.75,1.04,0.93,0.68,1.04,0.91,0.94,0.59
Inventory,41.82,29.55,32.98,15.34,13.11,15.35,14.02,15.81,13.34,13.89,13.22
Other Current Assets,0.82,0.43,0.49,2.92,2.78,2.54,2.51,2.63,2.56,2.59,2.64
Total Current Assets,58.16,54.13,60.89,20.62,22.25,23.36,22.58,19.69,17.07,17.65,16.61
Net PP&E,36.97,39.44,34.95,13.45,15.35,14.45,14.12,14.11,14.93,15.47,15.42
Intangibles,,,,,,,,,,,
Other Long-Term Assets,4.87,6.44,4.16,65.93,62.41,62.19,63.3,66.2,68.0,66.88,67.97
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,13.12,9.97,9.91,3.94,3.9,3.41,3.65,3.45,3.05,3.04,3.37
Short-Term Debt,4.32,6.68,4.82,1.96,2.1,1.85,1.92,2.04,2.08,2.05,2.12
Taxes Payable,,1.12,0.25,0.01,0.04,,0.02,0.01,0.01,0.01,0.09
Accrued Liabilities,2.81,2.35,3.7,1.51,1.55,1.49,1.73,1.9,1.7,1.63,1.49
Other Short-Term Liabilities,0.76,0.51,,,0.17,0.16,0.16,0.16,0.1,0.06,0.06
Total Current Liabilities,21.0,20.63,18.67,7.43,7.76,6.92,7.48,7.56,6.94,6.79,7.12
Long-Term Debt,9.74,7.48,1.07,57.16,54.13,57.36,60.0,64.5,68.65,69.66,69.57
Other Long-Term Liabilities,5.45,4.93,4.61,1.91,6.03,5.19,4.19,4.03,4.35,4.45,4.34
Total Liabilities,36.18,33.04,24.36,66.5,67.92,69.47,71.67,76.08,79.94,80.9,81.03
Total Stockholders' Equity,63.82,66.96,75.64,33.5,32.08,30.53,28.33,23.92,20.06,19.1,18.97
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
