Key Financials THB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue THB Mil,5563.0,5872.0,5642.0,6225.0,6555.0,5913.0,5341.0,4975.0,4960.0,4928.0,4909.0
Gross Margin %,13.3,13.5,13.4,13.4,13.1,11.8,10.1,10.0,9.9,10.3,10.9
Operating Income THB Mil,221.0,223.0,223.0,274.0,281.0,92.0,-8.0,-12.0,22.0,15.0,49.0
Operating Margin %,4.0,3.8,3.9,4.4,4.3,1.6,-0.1,-0.2,0.5,0.3,1.0
Net Income THB Mil,162.0,168.0,165.0,203.0,217.0,89.0,-9.0,-11.0,22.0,15.0,40.0
Earnings Per Share THB,0.48,0.5,0.49,0.6,0.63,0.25,-0.03,-0.03,0.06,0.04,0.13
Dividends THB,0.6,0.36,0.83,0.58,0.64,0.28,,,,0.05,0.04
Payout Ratio % *,125.0,125.0,72.0,100.0,97.6,132.9,,,,50.5,31.0
Shares Mil,336.0,334.0,335.0,338.0,347.0,349.0,349.0,349.0,349.0,349.0,327.0
Book Value Per Share * THB,2.82,2.8,2.95,2.85,3.11,3.01,2.97,2.92,2.97,3.01,2.89
Operating Cash Flow THB Mil,360.0,176.0,226.0,193.0,281.0,114.0,96.0,73.0,86.0,97.0,91.0
Cap Spending THB Mil,-38.0,-58.0,-40.0,-67.0,-83.0,-88.0,-86.0,-41.0,-44.0,-17.0,-20.0
Free Cash Flow THB Mil,322.0,119.0,187.0,126.0,198.0,25.0,10.0,32.0,42.0,81.0,72.0
Free Cash Flow Per Share * THB,0.96,0.96,0.35,0.06,0.37,0.13,0.22,0.45,0.07,0.1,
Working Capital THB Mil,704.0,760.0,749.0,778.0,722.0,664.0,652.0,655.0,674.0,708.0,
