Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,6.23,7.76,19.07,21.96,15.14,10.79,25.74,36.92,18.17,27.68,26.53
Accounts Receivable,18.71,17.45,14.97,14.06,16.26,13.53,16.15,13.76,12.11,12.94,13.63
Inventory,5.52,6.08,4.65,3.9,4.09,,,,,,
Other Current Assets,6.25,6.59,6.66,6.83,6.19,30.97,6.55,7.89,10.0,1.72,1.76
Total Current Assets,36.7,37.87,45.35,46.75,41.68,55.29,48.44,58.57,40.28,42.35,41.92
Net PP&E,10.39,10.21,8.95,7.79,7.78,5.22,4.11,3.04,3.3,3.13,2.97
Intangibles,45.76,37.74,34.43,36.2,41.33,35.72,40.34,35.31,53.82,51.39,50.64
Other Long-Term Assets,7.15,14.18,11.27,9.26,9.21,3.77,7.11,3.07,2.6,3.14,4.46
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,6.1,5.83,4.93,5.96,5.85,5.77,3.86,3.29,3.2,3.21,2.83
Short-Term Debt,,1.15,,,6.22,6.48,,,1.75,,
Taxes Payable,,0.28,0.26,0.34,0.45,2.24,0.25,0.47,0.68,1.1,0.88
Accrued Liabilities,11.16,8.75,8.72,8.76,9.79,6.42,7.05,29.82,6.16,5.36,4.28
Other Short-Term Liabilities,24.53,25.6,23.95,22.98,26.39,31.08,27.98,25.0,23.74,20.45,19.64
Total Current Liabilities,41.79,41.62,37.87,38.05,48.7,52.0,39.14,58.59,35.54,30.12,27.63
Long-Term Debt,18.84,19.7,18.5,17.0,12.42,11.33,13.18,11.8,42.38,41.11,40.95
Other Long-Term Liabilities,14.1,17.59,15.11,13.59,15.42,25.79,26.22,22.4,19.71,21.27,21.79
Total Liabilities,74.73,78.91,71.47,68.63,76.54,89.12,78.53,92.79,97.63,92.5,90.37
Total Stockholders' Equity,25.27,21.09,28.53,31.37,23.46,10.88,21.47,7.21,2.37,7.5,9.63
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
