Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,5975.0,6486.0,7184.0,7866.0,8608.0,9721.0,10230.0,11042.0,11940.0,12867.0,13577.0
Gross Margin %,22.7,23.6,25.8,27.2,27.5,27.9,28.0,28.1,28.2,28.7,28.9
Operating Income USD Mil,421.0,495.0,726.0,907.0,1063.0,1272.0,1343.0,1488.0,1624.0,1803.0,1933.0
Operating Margin %,7.0,7.6,10.1,11.5,12.4,13.1,13.1,13.5,13.6,14.0,14.2
Net Income USD Mil,261.0,305.0,443.0,555.0,657.0,787.0,837.0,925.0,1021.0,1118.0,1213.0
Earnings Per Share USD,0.47,0.58,0.89,1.16,1.43,1.76,1.94,2.21,2.51,2.83,3.13
Dividends USD,0.15,0.19,0.22,0.32,0.39,0.28,0.34,0.4,0.47,0.54,0.46
Payout Ratio % *,,,,,,,16.5,18.2,18.4,19.2,14.5
Shares Mil,549.0,525.0,500.0,480.0,460.0,446.0,432.0,418.0,406.0,395.0,387.0
Book Value Per Share * USD,,,,,,,60.38,78.01,109.18,140.51,143.55
Operating Cash Flow USD Mil,354.0,583.0,888.0,673.0,820.0,980.0,1022.0,1373.0,1326.0,1559.0,1695.0
Cap Spending USD Mil,-236.0,-224.0,-158.0,-199.0,-416.0,-424.0,-551.0,-647.0,-367.0,-298.0,-344.0
Free Cash Flow USD Mil,117.0,359.0,730.0,474.0,404.0,555.0,471.0,726.0,959.0,1261.0,1351.0
Free Cash Flow Per Share * USD,,,,,,,12.97,22.62,34.61,67.52,
Working Capital USD Mil,387.0,358.0,555.0,691.0,578.0,609.0,474.0,603.0,769.0,1061.0,
