Key Financials BDT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue BDT Mil,,,5495.0,11922.0,12870.0,8528.0,8102.0,10706.0,11836.0,14244.0,13398.0
Gross Margin %,,,,,,,,,,,
Operating Income BDT Mil,,,3210.0,8822.0,9449.0,3258.0,3469.0,5214.0,6404.0,8485.0,7351.0
Operating Margin %,,,58.4,74.0,73.4,38.2,42.8,48.7,54.1,59.6,54.9
Net Income BDT Mil,,,2082.0,6872.0,6113.0,1431.0,2086.0,2683.0,3881.0,5609.0,5235.0
Earnings Per Share BDT,,,,2.9,2.58,0.6,0.88,1.13,1.63,2.37,2.22
Dividends BDT,,,,,,,0.36,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,2370.0,2369.0,2366.0,2364.0,2370.0,2370.0,2370.0,
Book Value Per Share * BDT,,,,3.76,8.07,9.1,9.42,9.42,12.97,14.01,15.95
Operating Cash Flow BDT Mil,,,,,,,15857.0,-5421.0,16766.0,1662.0,1662.0
Cap Spending BDT Mil,,,,,,,-960.0,-432.0,-297.0,-857.0,-857.0
Free Cash Flow BDT Mil,,,,,,,14897.0,-5852.0,16469.0,805.0,805.0
Free Cash Flow Per Share * BDT,,,,,,,,,-2.47,6.95,
Working Capital BDT Mil,,,,,,,,,,,
