Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,11.82,7.22,14.59,16.58,1.62,1.61,1.48,3.26,6.46,3.29,3.3
Accounts Receivable,11.5,11.28,11.29,10.58,8.99,8.9,9.31,9.17,9.08,5.46,6.56
Inventory,9.64,10.82,9.44,9.48,7.61,8.1,8.64,8.32,7.73,4.44,5.58
Other Current Assets,3.74,4.25,4.12,3.73,3.08,3.73,3.1,5.2,3.9,2.96,2.18
Total Current Assets,36.7,33.56,39.44,40.36,21.3,22.35,22.52,25.95,27.18,16.15,17.61
Net PP&E,13.88,15.27,14.24,12.99,12.44,12.36,12.55,12.66,12.69,6.86,7.68
Intangibles,44.98,48.78,45.39,42.41,62.69,61.17,60.59,59.36,58.79,76.44,73.08
Other Long-Term Assets,4.43,2.39,0.93,4.24,3.57,4.12,4.34,2.03,1.34,0.55,1.63
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.08,3.69,3.27,3.51,3.14,3.32,2.61,2.85,3.03,1.91,2.22
Short-Term Debt,0.05,0.91,2.66,0.24,5.82,6.01,6.1,2.43,0.27,0.18,0.19
Taxes Payable,,1.28,0.4,0.4,0.19,0.79,0.28,0.62,0.57,0.61,0.35
Accrued Liabilities,7.08,6.84,8.07,6.9,6.08,5.52,5.51,7.87,6.63,3.77,4.81
Other Short-Term Liabilities,1.47,,,,,3.01,1.17,0.28,0.3,0.14,
Total Current Liabilities,11.68,12.72,14.4,11.05,15.23,18.66,15.68,14.05,10.81,6.61,7.58
Long-Term Debt,18.02,14.97,12.54,18.54,31.33,24.58,22.97,24.79,25.91,12.96,14.29
Other Long-Term Liabilities,13.64,16.22,13.73,13.95,14.58,12.34,11.43,11.24,10.17,10.81,11.36
Total Liabilities,43.34,43.9,40.67,43.54,61.14,55.58,50.08,50.08,46.9,30.39,33.23
Total Stockholders' Equity,56.66,56.1,59.33,56.46,38.86,44.42,49.92,49.92,53.1,69.61,66.77
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
