Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,1.03,1.45,8.32,5.81,5.03,7.58,0.64,1.18,0.82,1.19,0.71
Accounts Receivable,9.46,10.8,10.54,10.08,11.06,10.78,12.51,13.06,12.65,13.45,14.01
Inventory,14.71,18.12,13.97,16.52,17.94,17.99,18.51,18.63,16.17,16.38,16.16
Other Current Assets,3.02,4.47,4.08,4.47,4.62,4.11,4.67,4.94,3.05,2.91,2.92
Total Current Assets,28.22,34.85,36.91,36.87,38.64,40.45,36.33,37.8,32.69,33.93,33.81
Net PP&E,22.76,29.87,28.03,27.66,27.59,26.85,31.81,32.63,31.65,32.94,34.59
Intangibles,45.73,34.86,34.37,33.56,31.91,30.77,29.99,27.84,32.49,30.39,28.29
Other Long-Term Assets,3.29,0.42,0.7,1.91,1.86,1.92,1.87,1.73,3.17,2.73,3.31
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.6,4.89,5.25,5.79,6.0,6.15,7.44,7.51,7.01,7.13,7.27
Short-Term Debt,3.0,1.47,0.83,5.75,6.22,0.88,1.5,10.27,20.15,13.52,9.92
Taxes Payable,,0.63,1.34,0.15,,0.03,0.01,,,,
Accrued Liabilities,6.22,6.57,5.33,5.42,5.09,5.58,6.47,5.82,5.48,5.81,5.56
Other Short-Term Liabilities,0.14,0.05,1.09,0.08,0.42,0.5,0.13,,0.14,0.12,0.06
Total Current Liabilities,13.96,13.6,13.83,17.2,17.75,13.15,15.55,23.61,32.78,26.57,22.81
Long-Term Debt,23.29,28.85,28.19,21.36,19.34,21.06,25.11,16.92,12.04,11.03,13.07
Other Long-Term Liabilities,8.52,8.62,7.9,7.8,7.88,6.78,6.82,6.15,6.36,5.93,6.7
Total Liabilities,45.77,51.07,49.92,46.36,44.96,40.99,47.48,46.68,51.18,43.54,42.58
Total Stockholders' Equity,54.23,48.93,50.08,53.64,55.04,59.01,52.52,53.32,48.82,56.46,57.42
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
