Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,18.21,26.87,28.98,21.69,14.34,21.91,27.1,28.06,28.11,35.35,35.35
Accounts Receivable,11.87,8.49,11.2,9.41,13.93,12.55,10.68,14.46,10.81,9.94,9.94
Inventory,8.4,6.35,8.0,10.48,10.9,9.84,9.11,7.2,11.0,10.79,10.79
Other Current Assets,1.54,1.83,2.32,1.59,2.18,1.71,1.18,1.75,2.02,1.5,1.5
Total Current Assets,40.02,43.54,50.5,43.18,41.34,46.0,48.06,51.48,51.93,57.58,57.58
Net PP&E,14.02,11.97,13.07,13.3,13.08,14.08,18.69,22.22,20.91,19.29,19.29
Intangibles,40.73,36.98,31.85,39.67,41.87,37.09,31.14,24.24,24.39,20.79,20.79
Other Long-Term Assets,5.23,7.51,4.59,3.85,3.72,2.82,2.11,2.06,2.77,2.34,2.34
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.73,5.1,7.16,6.1,6.58,5.42,6.75,7.83,2.86,5.65,5.65
Short-Term Debt,4.04,6.1,3.2,1.38,,,,,,,
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,2.6,2.17,2.28,1.89,1.47,1.77,2.38,2.19,1.1,1.49,1.49
Other Short-Term Liabilities,0.66,1.17,0.43,3.7,0.5,0.51,0.88,2.45,1.49,1.34,1.34
Total Current Liabilities,12.03,14.53,13.06,13.07,8.55,7.7,10.01,12.47,5.45,8.48,8.48
Long-Term Debt,11.13,3.48,1.58,,,,,,,,
Other Long-Term Liabilities,0.45,0.45,1.18,1.81,2.27,2.24,4.84,2.59,2.69,2.62,2.62
Total Liabilities,23.61,18.46,15.82,14.88,10.82,9.94,14.84,15.06,8.14,11.11,11.11
Total Stockholders' Equity,76.39,81.54,84.18,85.12,89.18,90.06,85.16,84.94,91.86,88.89,88.89
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
