Key Financials GBP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue GBP Mil,37.0,57.0,71.0,83.0,98.0,122.0,128.0,144.0,172.0,217.0,217.0
Gross Margin %,60.7,65.8,66.7,67.3,69.0,71.0,70.6,70.5,70.2,70.1,70.1
Operating Income GBP Mil,7.0,16.0,26.0,32.0,34.0,43.0,43.0,46.0,46.0,55.0,55.0
Operating Margin %,20.1,27.9,36.1,38.1,35.0,35.1,33.9,31.7,27.0,25.4,25.4
Net Income GBP Mil,6.0,12.0,19.0,24.0,25.0,33.0,34.0,37.0,37.0,42.0,42.0
Earnings Per Share GBP,0.03,0.07,0.11,0.13,0.13,0.16,0.17,0.19,0.19,0.21,0.21
Dividends GBP,0.01,0.01,0.03,0.04,0.05,0.06,0.07,0.08,0.08,0.09,0.09
Payout Ratio % *,25.5,21.3,28.2,33.6,37.6,43.0,41.4,44.1,45.2,44.8,45.2
Shares Mil,178.0,180.0,183.0,183.0,189.0,200.0,200.0,201.0,202.0,204.0,204.0
Book Value Per Share * GBP,0.14,0.21,0.3,0.41,0.43,0.78,0.85,0.98,1.13,1.42,1.5
Operating Cash Flow GBP Mil,7.0,15.0,20.0,25.0,24.0,39.0,41.0,40.0,47.0,66.0,66.0
Cap Spending GBP Mil,-3.0,-2.0,-1.0,-1.0,-3.0,-7.0,-7.0,-7.0,-16.0,-19.0,-19.0
Free Cash Flow GBP Mil,4.0,13.0,19.0,24.0,22.0,32.0,34.0,33.0,32.0,47.0,47.0
Free Cash Flow Per Share * GBP,0.02,0.07,0.1,0.13,0.14,0.12,0.14,0.19,0.15,0.21,
Working Capital GBP Mil,19.0,32.0,48.0,64.0,34.0,54.0,74.0,79.0,86.0,111.0,
