Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,3.64,9.53,19.52,20.85,23.76,25.33,25.46,24.99,23.78,7.84,5.34
Accounts Receivable,27.14,27.28,28.23,26.03,30.34,31.46,31.15,29.68,27.3,31.54,28.6
Inventory,10.63,11.73,8.76,10.87,11.91,12.3,11.17,12.32,9.14,10.63,16.36
Other Current Assets,2.65,1.01,1.05,3.11,1.07,1.54,1.2,1.05,0.87,1.61,1.44
Total Current Assets,44.06,49.55,57.55,60.87,67.07,70.62,68.99,68.03,61.08,51.61,51.74
Net PP&E,39.44,30.59,24.96,23.42,19.25,17.27,19.8,22.38,28.8,28.23,31.03
Intangibles,0.35,,,,,,,,,,
Other Long-Term Assets,16.15,19.86,17.48,15.71,13.67,12.11,11.21,9.59,10.12,20.16,17.24
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,24.3,21.4,19.46,20.87,29.8,,,,,,
Short-Term Debt,9.27,3.83,3.39,0.38,0.45,0.4,0.57,,,,
Taxes Payable,0.61,3.57,3.83,,3.56,2.82,1.42,1.65,1.6,1.45,0.2
Accrued Liabilities,4.99,4.56,4.35,,,,,,,,
Other Short-Term Liabilities,2.52,2.52,2.44,9.18,0.49,26.63,24.58,23.28,21.04,22.61,20.78
Total Current Liabilities,41.69,35.87,33.47,30.43,34.3,29.84,26.57,24.93,22.64,24.05,20.98
Long-Term Debt,63.92,9.31,2.08,,1.13,,,,,,
Other Long-Term Liabilities,,,,1.69,3.63,4.15,5.31,5.32,6.73,6.67,7.88
Total Liabilities,105.61,45.18,35.55,32.13,39.07,33.99,31.88,30.26,29.37,30.73,28.86
Total Stockholders' Equity,-5.61,54.82,64.45,67.87,60.93,66.01,68.12,69.74,70.63,69.27,71.14
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
