Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,4243.0,4644.0,5231.0,5882.0,6631.0,7395.0,7840.0,8602.0,15498.0,20719.0,21520.0
Gross Margin %,34.4,34.3,35.5,35.5,35.9,35.9,35.6,35.3,30.0,30.9,31.3
Operating Income USD Mil,330.0,366.0,512.0,630.0,782.0,920.0,970.0,1040.0,1050.0,1704.0,1820.0
Operating Margin %,7.8,7.9,9.8,10.7,11.8,12.4,12.4,12.1,6.8,8.2,8.5
Net Income USD Mil,201.0,230.0,321.0,397.0,488.0,619.0,597.0,599.0,282.0,896.0,996.0
Earnings Per Share USD,0.7,0.84,1.19,1.55,2.01,2.68,2.72,2.9,1.26,3.78,4.19
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,289.0,272.0,270.0,256.0,242.0,230.0,219.0,207.0,224.0,237.0,237.0
Book Value Per Share * USD,,,,,,,,114.05,323.46,444.25,495.07
Operating Cash Flow USD Mil,367.0,403.0,581.0,519.0,687.0,678.0,793.0,926.0,780.0,1673.0,1610.0
Cap Spending USD Mil,-195.0,-131.0,-165.0,-179.0,-250.0,-312.0,-330.0,-326.0,-481.0,-566.0,-564.0
Free Cash Flow USD Mil,171.0,272.0,416.0,340.0,436.0,366.0,463.0,601.0,300.0,1108.0,1047.0
Free Cash Flow Per Share * USD,,,,,,,,36.69,6.76,76.46,
Working Capital USD Mil,382.0,663.0,830.0,801.0,628.0,797.0,692.0,1133.0,1841.0,1832.0,
