Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,2839.0,2812.0,3001.0,5400.0,9208.0,9545.0,9895.0,11124.0,14171.0,14860.0,14860.0
Gross Margin %,19.1,27.1,24.0,18.4,16.6,19.3,19.5,19.2,19.5,18.4,18.4
Operating Income USD Mil,216.0,419.0,373.0,357.0,530.0,814.0,854.0,853.0,430.0,835.0,835.0
Operating Margin %,7.6,14.9,12.4,6.6,5.8,8.5,8.6,7.7,3.0,5.6,5.6
Net Income USD Mil,81.0,222.0,225.0,141.0,249.0,727.0,479.0,507.0,-396.0,708.0,708.0
Earnings Per Share USD,1.07,2.85,2.85,1.39,1.72,4.98,3.29,2.93,-1.56,2.77,2.77
Dividends USD,,,,,,,,0.38,1.5,0.8,0.8
Payout Ratio % *,,,,,,,,,133.9,,133.9
Shares Mil,76.0,77.0,78.0,101.0,144.0,146.0,146.0,173.0,257.0,255.0,255.0
Book Value Per Share * USD,,,,,,,,,772.28,,815.55
Operating Cash Flow USD Mil,241.0,389.0,377.0,461.0,657.0,1033.0,1151.0,1203.0,1688.0,1901.0,1901.0
Cap Spending USD Mil,-84.0,-84.0,-106.0,-199.0,-469.0,-440.0,-534.0,-586.0,-797.0,-779.0,-779.0
Free Cash Flow USD Mil,156.0,305.0,271.0,262.0,187.0,592.0,618.0,618.0,892.0,1122.0,1122.0
Free Cash Flow Per Share * USD,,,,,,,,,64.06,,
Working Capital USD Mil,62.0,209.0,77.0,911.0,782.0,1173.0,1072.0,1997.0,1729.0,1481.0,
