Key Financials ZAR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue ZAR Mil,258.0,298.0,255.0,250.0,283.0,284.0,308.0,319.0,323.0,300.0,300.0
Gross Margin %,54.0,47.4,52.9,54.3,52.6,52.4,52.2,49.6,50.2,42.2,42.2
Operating Income ZAR Mil,21.0,16.0,16.0,15.0,17.0,15.0,10.0,3.0,-24.0,3.0,3.0
Operating Margin %,8.2,5.5,6.4,6.1,5.9,5.3,3.1,0.9,-7.3,1.0,1.0
Net Income ZAR Mil,17.0,9.0,12.0,-75.0,7.0,9.0,5.0,0.0,-29.0,1.0,1.0
Earnings Per Share ZAR,0.18,0.09,0.12,-0.72,0.07,0.08,0.04,,-0.25,0.01,0.01
Dividends ZAR,,0.04,0.02,0.02,,,,,,,
Payout Ratio % *,,43.0,16.6,,,,,,,,
Shares Mil,87.0,102.0,102.0,107.0,105.0,105.0,115.0,119.0,131.0,133.0,133.0
Book Value Per Share * ZAR,2.15,1.6,1.69,1.41,1.11,1.19,1.21,1.27,1.33,1.23,0.99
Operating Cash Flow ZAR Mil,,,14.0,10.0,8.0,2.0,-7.0,-0.0,-4.0,12.0,12.0
Cap Spending ZAR Mil,-7.0,-6.0,-6.0,-3.0,-3.0,-4.0,-4.0,-4.0,-4.0,-1.0,-1.0
Free Cash Flow ZAR Mil,8.0,-13.0,8.0,7.0,5.0,-2.0,-11.0,-4.0,-7.0,12.0,12.0
Free Cash Flow Per Share * ZAR,0.09,-0.13,0.08,0.07,0.03,0.03,-0.02,0.01,-0.07,-0.04,
Working Capital ZAR Mil,33.0,52.0,58.0,34.0,45.0,53.0,68.0,74.0,70.0,80.0,
