Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.28,0.27,5.12,7.42,9.1,15.31,9.25,6.03,5.77,16.15,1.89
Accounts Receivable,15.29,9.93,13.83,10.4,12.86,11.41,9.81,8.65,4.85,5.43,5.91
Inventory,14.76,10.59,7.71,14.4,17.82,14.74,19.16,14.71,14.1,12.94,13.59
Other Current Assets,1.65,1.36,0.89,1.32,2.18,1.85,1.57,1.21,1.66,1.82,2.07
Total Current Assets,31.99,22.14,27.55,33.53,41.96,43.32,39.78,30.6,26.37,36.35,23.47
Net PP&E,58.81,68.36,64.31,59.21,52.04,49.01,51.35,54.54,58.42,48.91,51.67
Intangibles,4.7,4.82,3.73,2.82,2.65,2.34,1.96,8.55,8.57,7.19,17.73
Other Long-Term Assets,4.5,4.68,4.41,4.44,3.35,5.34,6.91,6.31,6.64,7.55,7.13
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,24.66,13.82,17.86,21.21,23.3,20.68,19.39,14.89,9.6,9.96,10.15
Short-Term Debt,0.02,0.03,0.05,1.74,4.23,0.03,,0.04,0.04,2.28,0.1
Taxes Payable,,,,,1.95,2.65,3.1,2.03,1.96,1.6,
Accrued Liabilities,6.0,5.54,5.5,5.63,3.37,2.59,2.08,2.18,2.17,1.49,
Other Short-Term Liabilities,,,,,,0.97,0.88,1.76,1.73,2.09,5.71
Total Current Liabilities,30.68,19.39,23.41,28.58,32.84,26.92,25.45,20.9,15.49,17.42,15.96
Long-Term Debt,20.39,21.65,22.76,21.11,12.97,14.83,21.08,25.65,24.9,31.71,27.37
Other Long-Term Liabilities,11.38,15.67,15.58,13.49,17.1,18.53,21.33,26.59,27.69,24.08,24.02
Total Liabilities,62.45,56.71,61.75,63.18,62.92,60.28,67.87,73.14,68.08,73.21,67.35
Total Stockholders' Equity,37.55,43.29,38.25,36.82,37.08,39.72,32.13,26.86,31.92,26.79,32.65
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
