Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,,3007.0,3234.0,3328.0,3135.0,3703.0,4013.0,4579.0,4984.0,5202.0
Gross Margin %,,,30.0,32.7,29.9,33.2,35.0,34.1,34.5,36.2,36.8
Operating Income USD Mil,,,49.0,198.0,-15.0,143.0,323.0,404.0,496.0,633.0,696.0
Operating Margin %,,,1.6,6.1,-0.5,4.6,8.7,10.1,10.8,12.7,13.4
Net Income USD Mil,,,-41.0,63.0,-36.0,119.0,229.0,158.0,315.0,413.0,448.0
Earnings Per Share USD,,,,0.41,-0.23,0.71,1.34,0.95,1.93,2.62,2.86
Dividends USD,,,,,,,0.3,0.48,0.56,0.64,0.7
Payout Ratio % *,,,,,,,18.7,27.1,31.9,24.9,24.3
Shares Mil,,,,155.0,155.0,166.0,171.0,166.0,163.0,158.0,156.0
Book Value Per Share * USD,,,,,13.62,14.53,15.08,14.78,15.02,15.38,16.76
Operating Cash Flow USD Mil,,,269.0,139.0,175.0,283.0,298.0,253.0,411.0,651.0,623.0
Cap Spending USD Mil,,,-43.0,-58.0,-69.0,-75.0,-97.0,-128.0,-129.0,-149.0,-138.0
Free Cash Flow USD Mil,,,226.0,80.0,107.0,208.0,201.0,126.0,283.0,501.0,484.0
Free Cash Flow Per Share * USD,,,,,0.22,1.25,1.44,0.7,1.69,2.3,
Working Capital USD Mil,,,816.0,891.0,355.0,595.0,589.0,600.0,660.0,602.0,
