Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,6466.0,8261.0,8954.0,9236.0,9494.0,8656.0,7488.0,7264.0,6955.0,6923.0,7144.0
Gross Margin %,7.3,7.7,8.7,12.0,12.0,11.4,5.8,1.8,2.3,4.1,5.0
Operating Income GBP Mil,65.0,179.0,295.0,220.0,243.0,154.0,-33.0,-281.0,-182.0,15.0,61.0
Operating Margin %,1.0,2.2,3.3,2.4,2.6,1.8,-0.4,-3.9,-2.6,0.2,0.9
Net Income GBP Mil,151.0,196.0,211.0,143.0,186.0,35.0,-35.0,-60.0,-206.0,24.0,55.0
Earnings Per Share GBP,0.3,0.37,0.37,0.2,0.27,0.05,-0.05,-0.08,-0.3,0.04,0.08
Dividends GBP,0.09,0.1,0.12,0.12,0.13,0.14,0.14,0.14,,,0.02
Payout Ratio % *,25.1,28.1,31.1,53.5,62.6,216.9,,542.3,,,81.8
Shares Mil,498.0,528.0,572.0,683.0,684.0,685.0,686.0,685.0,682.0,684.0,686.0
Book Value Per Share * GBP,0.91,1.51,1.41,1.64,1.77,1.9,1.73,1.4,1.23,1.2,1.1
Operating Cash Flow GBP Mil,253.0,279.0,233.0,106.0,17.0,-238.0,-175.0,-372.0,-129.0,-136.0,-39.0
Cap Spending GBP Mil,-80.0,-93.0,-74.0,-99.0,-96.0,-74.0,-120.0,-129.0,-83.0,-52.0,-94.0
Free Cash Flow GBP Mil,173.0,186.0,159.0,7.0,-79.0,-312.0,-295.0,-501.0,-212.0,-188.0,-133.0
Free Cash Flow Per Share * GBP,0.35,0.35,0.28,0.01,-0.13,-0.46,-0.38,-0.52,-0.32,-0.4,
Working Capital GBP Mil,-479.0,-643.0,-494.0,-490.0,-539.0,-669.0,-155.0,-14.0,-285.0,-243.0,
