Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,11.35,16.17,14.78,14.92,18.68,16.84,10.31,12.89,17.58,21.4,15.21
Accounts Receivable,6.48,7.71,8.71,10.38,8.99,9.43,9.08,11.01,7.9,7.62,9.04
Inventory,2.71,3.11,3.44,3.57,3.61,4.42,5.55,5.62,4.58,4.38,4.37
Other Current Assets,6.91,2.0,2.08,2.52,1.6,1.34,1.91,3.13,4.29,4.78,4.19
Total Current Assets,27.45,28.99,29.01,31.39,32.88,32.03,26.85,32.64,34.35,38.17,32.8
Net PP&E,17.35,18.81,19.14,20.29,17.36,17.2,14.76,12.33,11.22,10.94,12.98
Intangibles,42.07,38.92,35.19,36.07,30.44,27.96,48.11,40.43,34.6,32.69,35.31
Other Long-Term Assets,13.13,13.29,16.66,12.25,19.32,22.81,10.28,14.59,19.83,18.21,18.91
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.05,1.27,1.39,2.01,2.06,2.01,1.85,1.6,1.37,1.22,1.29
Short-Term Debt,17.51,0.33,0.23,1.69,0.04,4.48,0.03,0.02,0.02,0.02,2.48
Taxes Payable,0.13,2.63,0.89,1.04,0.51,0.2,1.51,1.17,1.07,1.01,0.53
Accrued Liabilities,4.26,6.31,5.86,7.72,7.48,9.67,11.42,12.71,9.08,12.69,10.64
Other Short-Term Liabilities,2.41,0.35,,0.51,,,,,1.67,,
Total Current Liabilities,25.37,10.89,8.36,12.98,10.09,16.36,14.82,15.5,13.22,14.95,14.95
Long-Term Debt,0.6,12.8,12.63,13.18,11.72,6.79,4.99,4.07,33.44,28.47,25.74
Other Long-Term Liabilities,9.89,7.83,6.26,7.16,7.19,8.13,7.52,4.93,5.3,3.51,3.58
Total Liabilities,35.86,31.52,27.25,33.31,29.0,31.28,27.34,24.5,51.95,46.93,44.26
Total Stockholders' Equity,64.14,68.48,72.75,66.69,71.0,68.72,72.66,75.5,48.05,53.07,55.74
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
