Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,1.18,5.15,9.17,11.85,5.35,9.14,8.75,6.41,7.49,6.77,6.77
Accounts Receivable,4.24,4.63,5.03,5.3,3.91,4.55,4.71,5.42,6.11,6.69,6.69
Inventory,2.15,3.21,3.42,3.84,3.5,3.21,3.93,3.69,3.75,4.16,4.16
Other Current Assets,0.96,1.45,1.91,1.35,2.16,1.14,1.23,0.99,0.77,0.91,0.91
Total Current Assets,8.53,14.44,19.53,22.35,14.92,18.04,18.61,16.51,18.13,18.53,18.53
Net PP&E,3.49,4.77,4.47,3.97,4.85,5.46,5.49,5.96,6.29,6.16,6.16
Intangibles,87.04,79.68,75.15,72.91,78.69,74.67,74.21,76.03,74.44,74.1,74.1
Other Long-Term Assets,0.95,1.11,0.84,0.77,1.55,1.82,1.69,1.5,1.14,1.22,1.22
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,0.73,0.82,1.02,1.06,0.83,0.89,1.09,1.53,2.14,2.09,2.09
Short-Term Debt,0.47,0.67,0.02,,0.62,6.26,1.36,5.11,4.05,14.42,14.42
Taxes Payable,,,,0.55,0.12,,0.12,0.17,0.52,0.84,0.84
Accrued Liabilities,1.9,2.41,3.25,1.79,1.55,3.02,2.09,3.37,3.41,3.86,3.86
Other Short-Term Liabilities,1.08,1.88,3.56,5.08,3.2,1.91,2.7,2.13,2.21,2.17,2.17
Total Current Liabilities,4.19,5.79,7.86,8.48,6.31,12.09,7.36,12.31,12.33,23.38,23.38
Long-Term Debt,26.58,32.78,25.72,24.77,47.45,47.13,49.36,42.35,41.68,27.22,27.22
Other Long-Term Liabilities,12.16,17.27,18.46,17.87,17.98,19.21,18.76,18.24,16.71,14.5,14.5
Total Liabilities,42.93,55.84,52.03,51.12,71.74,78.43,75.48,72.89,70.72,65.1,65.1
Total Stockholders' Equity,57.07,44.16,47.97,48.88,28.26,21.57,24.52,27.11,29.28,34.9,34.9
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
