Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,150.0,100.0,87.0,91.0,97.0,98.0,109.0,111.0,124.0,143.0,152.0
Gross Margin %,39.4,43.3,49.7,52.8,56.7,58.1,56.9,57.0,55.4,52.5,52.7
Operating Income GBP Mil,16.0,8.0,6.0,5.0,8.0,10.0,10.0,10.0,10.0,9.0,11.0
Operating Margin %,11.0,8.4,7.1,5.7,8.6,9.9,8.7,8.7,8.4,6.6,7.3
Net Income GBP Mil,12.0,8.0,5.0,3.0,3.0,7.0,8.0,9.0,10.0,7.0,9.0
Earnings Per Share GBP,0.15,0.1,0.07,0.05,0.05,0.1,0.1,0.11,0.13,0.1,0.12
Dividends GBP,0.03,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.07
Payout Ratio % *,,,,,53.4,58.5,51.0,59.3,52.1,50.3,58.1
Shares Mil,76.0,74.0,74.0,74.0,74.0,75.0,74.0,74.0,75.0,75.0,75.0
Book Value Per Share * GBP,,,,,1.47,1.5,1.56,1.56,1.66,1.79,1.85
Operating Cash Flow GBP Mil,25.0,10.0,-4.0,5.0,5.0,8.0,11.0,10.0,5.0,19.0,16.0
Cap Spending GBP Mil,-0.0,-0.0,-0.0,-2.0,-4.0,-3.0,-3.0,-4.0,-3.0,-3.0,-2.0
Free Cash Flow GBP Mil,24.0,10.0,-5.0,3.0,1.0,5.0,9.0,6.0,2.0,16.0,14.0
Free Cash Flow Per Share * GBP,,,,,0.01,0.05,0.04,0.08,0.07,0.16,
Working Capital GBP Mil,,85.0,75.0,77.0,56.0,61.0,54.0,58.0,66.0,71.0,
