Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,37491.0,42905.0,65225.0,108249.0,156508.0,170910.0,182795.0,233715.0,215639.0,229234.0,229234.0
Gross Margin %,35.2,40.1,39.4,40.5,43.9,37.6,38.6,40.1,39.1,38.5,38.5
Operating Income USD Mil,8327.0,11740.0,18385.0,33790.0,55241.0,48999.0,52503.0,71230.0,60024.0,61344.0,61344.0
Operating Margin %,22.2,27.4,28.2,31.2,35.3,28.7,28.7,30.5,27.8,26.8,26.8
Net Income USD Mil,6119.0,8235.0,14013.0,25922.0,41733.0,37037.0,39510.0,53394.0,45687.0,48351.0,48351.0
Earnings Per Share USD,0.97,1.3,2.16,3.95,6.31,5.68,6.45,9.22,8.31,9.21,9.21
Dividends USD,,,,,0.38,1.63,1.81,1.98,2.18,2.4,2.4
Payout Ratio % *,,,,,,,,,,,29.3
Shares Mil,6315.0,6349.0,6473.0,6557.0,6617.0,6522.0,6123.0,5793.0,5500.0,5252.0,5252.0
Book Value Per Share * USD,,,,,,,,,,,474.19
Operating Cash Flow USD Mil,9596.0,10159.0,18595.0,37529.0,50856.0,53666.0,59713.0,81266.0,65824.0,63598.0,63598.0
Cap Spending USD Mil,-1199.0,-1213.0,-2121.0,-7452.0,-9402.0,-9076.0,-9813.0,-11488.0,-13548.0,-12795.0,-12795.0
Free Cash Flow USD Mil,8397.0,8946.0,16474.0,30077.0,41454.0,44590.0,49900.0,69778.0,52276.0,50803.0,50803.0
Free Cash Flow Per Share * USD,,,,,,,,,,,
Working Capital USD Mil,20598.0,20049.0,20956.0,17018.0,19111.0,29628.0,5083.0,8768.0,27863.0,27831.0,
