Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,6.78,5.53,7.39,3.18,5.39,3.45,2.51,0.47,0.2,0.36,2.54
Accounts Receivable,4.76,3.62,3.28,3.44,3.86,2.83,2.48,2.25,2.12,2.0,1.7
Inventory,0.83,1.0,0.88,1.21,1.02,0.72,0.71,0.46,0.26,0.29,0.31
Other Current Assets,9.73,6.81,3.46,2.29,1.21,0.91,0.49,0.55,0.53,0.46,0.42
Total Current Assets,22.1,16.96,15.0,10.13,11.48,7.91,6.2,3.74,3.12,3.12,4.97
Net PP&E,63.77,69.46,73.75,81.18,76.23,63.58,67.09,55.54,60.34,60.7,60.08
Intangibles,4.03,3.89,4.0,0.03,,9.67,8.44,22.89,20.43,20.63,19.24
Other Long-Term Assets,10.1,9.69,7.25,8.66,12.29,18.84,18.27,17.84,16.11,15.55,15.71
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.51,4.07,3.69,3.68,4.19,3.78,3.54,1.71,1.52,1.33,1.68
Short-Term Debt,0.57,0.75,0.07,2.03,2.14,,0.83,1.59,1.38,1.87,1.09
Taxes Payable,0.97,1.49,,,0.15,,,,,,
Accrued Liabilities,3.61,3.01,3.75,4.01,3.28,2.58,2.7,1.54,2.2,2.24,2.34
Other Short-Term Liabilities,8.02,4.21,2.29,0.58,0.4,,0.24,0.24,,0.85,
Total Current Liabilities,17.68,13.53,9.8,10.31,10.15,6.37,7.31,5.08,5.09,6.3,5.1
Long-Term Debt,30.95,29.54,32.67,34.44,50.72,44.13,41.83,41.31,48.58,48.31,44.59
Other Long-Term Liabilities,25.93,24.47,24.12,26.07,28.27,29.97,32.95,36.25,33.79,35.48,32.72
Total Liabilities,74.56,67.55,66.59,70.82,89.13,80.47,82.08,82.64,87.46,90.09,82.42
Total Stockholders' Equity,25.44,32.45,33.41,29.18,10.87,19.53,17.92,17.36,12.54,9.91,17.58
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
