Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,483.0,520.0,531.0,542.0,551.0,606.0,637.0,686.0,744.0,802.0,838.0
Gross Margin %,69.7,68.2,68.6,79.6,80.2,70.4,70.1,69.1,68.6,68.4,68.6
Operating Income USD Mil,209.0,217.0,211.0,229.0,226.0,254.0,254.0,271.0,300.0,321.0,333.0
Operating Margin %,43.2,41.8,39.7,42.3,41.1,41.9,39.9,39.5,40.3,40.0,39.7
Net Income USD Mil,196.0,130.0,98.0,123.0,144.0,152.0,163.0,165.0,210.0,250.0,297.0
Earnings Per Share USD,3.45,2.19,1.63,1.98,2.28,2.35,2.46,2.41,3.03,3.5,4.1
Dividends USD,2.37,2.52,2.62,2.66,2.72,2.84,3.8,3.3,3.62,3.84,3.94
Payout Ratio % *,139.4,129.2,163.8,135.7,130.4,131.4,136.2,176.6,149.1,126.7,124.8
Shares Mil,57.0,59.0,60.0,61.0,63.0,64.0,65.0,67.0,69.0,71.0,72.0
Book Value Per Share * USD,18.84,18.73,19.06,18.52,20.18,19.7,20.95,22.79,23.83,27.26,28.24
Operating Cash Flow USD Mil,214.0,228.0,257.0,257.0,245.0,297.0,314.0,346.0,360.0,419.0,465.0
Cap Spending USD Mil,-69.0,-238.0,-113.0,-146.0,-246.0,-262.0,-377.0,-370.0,-437.0,-580.0,-966.0
Free Cash Flow USD Mil,145.0,-9.0,144.0,111.0,-1.0,35.0,-63.0,-24.0,-77.0,-161.0,-501.0
Free Cash Flow Per Share * USD,2.56,-0.16,2.41,1.8,1.0,0.55,-0.74,-1.29,-0.82,-2.3,
Working Capital USD Mil,,47.0,145.0,-26.0,39.0,-15.0,7.0,-28.0,-55.0,-119.0,
