Key Financials CAD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue CAD Mil,3316.0,3189.0,2353.0,2886.0,2762.0,3000.0,3474.0,3856.0,4100.0,4450.0,4865.0
Gross Margin %,23.7,7.4,9.8,38.1,30.6,32.5,34.9,34.2,29.9,33.2,37.9
Operating Income CAD Mil,-162.0,-153.0,-181.0,275.0,58.0,123.0,345.0,406.0,249.0,482.0,704.0
Operating Margin %,-4.9,-4.8,-7.7,9.5,2.1,4.1,9.9,10.5,6.1,10.8,14.5
Net Income CAD Mil,-34.0,-137.0,-341.0,186.0,73.0,77.0,349.0,259.0,104.0,326.0,468.0
Earnings Per Share CAD,-0.4,-1.6,-3.98,2.17,0.73,0.9,4.07,3.06,0.89,3.9,5.97
Dividends CAD,,,,,0.21,0.35,0.28,0.28,0.21,0.28,0.32
Payout Ratio % *,,,,,,55.1,9.2,7.2,15.6,10.0,5.4
Shares Mil,86.0,86.0,86.0,86.0,87.0,87.0,87.0,86.0,84.0,81.0,79.0
Book Value Per Share * CAD,,,,,,12.62,14.4,17.16,17.04,18.86,21.69
Operating Cash Flow CAD Mil,-239.0,179.0,106.0,387.0,81.0,195.0,419.0,475.0,301.0,689.0,784.0
Cap Spending CAD Mil,-107.0,-46.0,-18.0,-56.0,-213.0,-150.0,-338.0,-410.0,,-273.0,-315.0
Free Cash Flow CAD Mil,-346.0,132.0,87.0,330.0,-132.0,45.0,81.0,65.0,301.0,416.0,469.0
Free Cash Flow Per Share * CAD,,,,,,-0.67,1.12,0.22,-0.31,3.98,
Working Capital CAD Mil,375.0,359.0,209.0,425.0,430.0,438.0,198.0,291.0,365.0,479.0,
