Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,70235.0,76148.0,76733.0,82049.0,90269.0,96619.0,98375.0,108465.0,109830.0,115337.0,118050.0
Gross Margin %,23.4,23.1,23.2,22.2,20.9,20.6,20.6,21.2,22.2,22.4,22.0
Operating Income USD Mil,2301.0,2452.0,1091.0,2182.0,1278.0,2764.0,2725.0,3137.0,3576.0,3436.0,2871.0
Operating Margin %,3.3,3.2,1.4,2.7,1.4,2.9,2.8,2.9,3.3,3.0,2.4
Net Income USD Mil,1181.0,1249.0,70.0,1116.0,602.0,1497.0,1519.0,1728.0,2039.0,1975.0,1552.0
Earnings Per Share USD,0.84,0.94,0.06,0.87,0.51,1.39,1.45,1.72,2.06,2.05,1.65
Dividends USD,0.14,0.17,0.18,0.2,0.21,0.25,0.31,0.34,0.4,0.45,0.48
Payout Ratio % *,17.2,18.0,144.0,22.4,42.6,32.8,20.2,20.5,18.9,20.9,29.0
Shares Mil,1396.0,1316.0,1300.0,1276.0,1186.0,1074.0,1040.0,993.0,980.0,958.0,934.0
Book Value Per Share * USD,3.71,4.04,3.73,4.27,3.55,3.63,4.82,5.46,6.49,7.16,6.99
Operating Cash Flow USD Mil,2581.0,2896.0,2922.0,3366.0,2658.0,2833.0,3380.0,4163.0,4833.0,4272.0,4565.0
Cap Spending USD Mil,-2126.0,-2149.0,-2297.0,-1919.0,-1898.0,-2062.0,-2330.0,-2831.0,-3349.0,-3699.0,-3175.0
Free Cash Flow USD Mil,455.0,747.0,625.0,1447.0,760.0,771.0,1050.0,1332.0,1484.0,573.0,1390.0
Free Cash Flow Per Share * USD,0.33,0.46,0.47,1.13,0.64,0.5,1.06,1.31,1.27,0.62,
Working Capital USD Mil,-1575.0,-423.0,-264.0,-449.0,-1780.0,-3098.0,-1875.0,-2492.0,-3079.0,-2520.0,
