Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,30.19,36.6,26.69,17.74,16.96,23.02,22.82,12.36,11.47,17.02,13.35
Accounts Receivable,15.45,15.19,17.93,15.85,23.98,20.86,21.07,22.57,21.7,20.65,31.47
Inventory,10.2,11.1,9.32,8.84,9.32,7.92,8.37,10.17,11.16,12.31,11.58
Other Current Assets,7.51,5.51,4.61,4.49,3.91,3.09,4.16,3.43,5.74,5.78,4.16
Total Current Assets,63.36,68.4,58.55,46.92,54.17,54.88,56.42,48.53,50.07,55.77,60.57
Net PP&E,10.75,9.91,7.28,4.64,4.94,5.63,6.43,7.56,7.88,7.44,6.9
Intangibles,9.78,11.16,9.49,18.15,27.27,28.27,25.64,32.31,31.37,28.79,28.53
Other Long-Term Assets,16.11,10.53,24.68,30.28,13.63,11.22,11.51,11.6,10.68,8.01,4.0
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,9.32,6.33,7.51,8.28,10.9,10.38,11.26,10.17,8.73,8.28,9.6
Short-Term Debt,,,,,,,,,,,
Taxes Payable,,,0.05,,,,,,,,
Accrued Liabilities,8.59,8.59,8.46,7.67,8.0,4.91,5.08,8.07,8.56,9.72,9.94
Other Short-Term Liabilities,,10.6,,,2.21,1.44,1.22,1.26,1.83,0.82,0.18
Total Current Liabilities,17.9,25.52,16.02,15.96,21.11,16.73,17.55,19.49,19.12,18.82,19.72
Long-Term Debt,,,,,,,,,,,
Other Long-Term Liabilities,1.3,2.04,2.05,4.24,4.66,5.35,5.36,7.07,6.69,5.04,5.89
Total Liabilities,19.21,27.56,18.07,20.19,25.78,22.07,22.92,26.56,25.81,23.86,25.61
Total Stockholders' Equity,80.79,72.44,81.93,79.81,74.22,77.93,77.08,73.44,74.19,76.14,74.39
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
