Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,12.02,12.32,16.99,12.42,6.71,7.68,8.44,3.02,2.47,2.1,1.38
Accounts Receivable,23.38,23.9,16.72,17.65,22.69,32.5,24.84,28.72,31.09,28.02,29.82
Inventory,0.77,0.73,0.81,1.19,1.52,0.74,0.55,0.62,1.44,1.65,1.3
Other Current Assets,2.35,1.92,3.92,5.51,6.64,1.9,6.1,8.11,8.68,10.98,11.9
Total Current Assets,38.51,38.86,38.45,36.77,37.56,42.83,39.93,40.46,43.68,42.75,44.4
Net PP&E,15.71,17.88,20.75,20.75,20.68,20.35,20.81,23.45,21.14,21.93,18.92
Intangibles,44.51,42.3,39.7,40.43,38.48,33.49,34.33,34.73,33.71,33.44,33.31
Other Long-Term Assets,1.27,0.96,1.1,2.05,3.27,3.34,4.93,1.36,1.46,1.89,3.37
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,7.95,11.26,,,7.31,,7.12,7.73,8.68,9.89,
Short-Term Debt,8.0,0.03,0.08,0.03,,,0.04,0.14,0.14,0.14,0.04
Taxes Payable,,,,,1.02,,1.29,0.33,0.08,0.76,
Accrued Liabilities,5.96,,,,4.48,,5.05,5.01,6.1,6.29,
Other Short-Term Liabilities,0.44,1.42,11.96,11.5,3.81,17.14,4.52,4.81,8.1,5.42,23.94
Total Current Liabilities,22.36,12.71,12.04,11.53,16.62,17.14,18.01,18.02,23.09,22.51,23.98
Long-Term Debt,4.24,4.04,3.08,,,,,1.15,9.12,6.6,11.45
Other Long-Term Liabilities,8.9,8.48,9.36,10.95,11.41,9.59,8.9,9.31,8.61,8.51,8.43
Total Liabilities,35.5,25.23,24.48,22.47,28.03,26.73,26.91,28.48,40.82,37.63,43.86
Total Stockholders' Equity,64.5,74.77,75.52,77.53,71.97,73.27,73.09,71.52,59.18,62.37,56.14
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
