Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,923.0,1024.0,1032.0,1103.0,1219.0,1293.0,1377.0,1486.0,1602.0,1775.0,1906.0
Gross Margin %,50.2,51.7,51.0,52.4,53.0,54.1,54.9,54.9,55.6,54.9,55.9
Operating Income USD Mil,136.0,172.0,176.0,204.0,236.0,263.0,267.0,260.0,300.0,350.0,399.0
Operating Margin %,14.8,16.8,17.1,18.5,19.4,20.3,19.4,17.5,18.7,19.7,20.9
Net Income USD Mil,94.0,116.0,122.0,141.0,162.0,178.0,188.0,182.0,192.0,222.0,277.0
Earnings Per Share USD,0.73,0.94,1.0,1.19,1.39,1.58,1.74,1.79,2.05,2.44,3.08
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,129.0,124.0,121.0,119.0,116.0,112.0,108.0,102.0,94.0,91.0,90.0
Book Value Per Share * USD,3.59,3.68,4.42,5.01,5.32,5.84,5.19,2.42,-0.43,0.62,-0.56
Operating Cash Flow USD Mil,135.0,143.0,175.0,179.0,220.0,230.0,246.0,236.0,216.0,335.0,349.0
Cap Spending USD Mil,-66.0,-99.0,-59.0,-39.0,-53.0,-66.0,-79.0,-61.0,-83.0,-65.0,-70.0
Free Cash Flow USD Mil,69.0,45.0,116.0,140.0,167.0,164.0,167.0,175.0,133.0,270.0,279.0
Free Cash Flow Per Share * USD,0.53,0.36,0.95,1.17,1.38,1.46,1.58,2.08,0.89,2.67,
Working Capital USD Mil,82.0,61.0,120.0,175.0,87.0,163.0,174.0,-62.0,-35.0,-89.0,
