Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,118245.0,107786.0,112493.0,136185.0,143688.0,162463.0,182150.0,194699.0,210943.0,223604.0,241574.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,20161.0,7574.0,11552.0,19051.0,15314.0,22236.0,28796.0,28131.0,35068.0,32744.0,25709.0
Operating Margin %,17.1,7.0,10.3,14.0,10.7,13.7,15.8,14.4,16.6,14.6,10.6
Net Income USD Mil,13213.0,4994.0,8055.0,12967.0,10254.0,14824.0,19476.0,19872.0,24083.0,24074.0,18675.0
Earnings Per Share USD,5.7,2.15,3.46,5.29,4.14,5.98,7.9,8.06,9.77,9.76,7.57
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,2319.0,2323.0,2327.0,2453.0,2475.0,2477.0,2465.0,2465.0,2465.0,2466.0,2467.0
Book Value Per Share * USD,52.01,47.02,56.32,63.64,64.6,76.14,84.5,96.36,100.72,109.17,124.95
Operating Cash Flow USD Mil,12550.0,11252.0,15846.0,17895.0,20476.0,20950.0,27704.0,32010.0,31491.0,32535.0,44935.0
Cap Spending USD Mil,-5373.0,-6138.0,-4937.0,-5980.0,-8191.0,-9775.0,-11087.0,-15185.0,-16082.0,-12954.0,-11936.0
Free Cash Flow USD Mil,7177.0,5114.0,10909.0,11915.0,12285.0,11175.0,16617.0,16825.0,15409.0,19581.0,32999.0
Free Cash Flow Per Share * USD,3.09,2.2,4.69,4.82,5.12,4.51,6.17,7.14,6.16,7.62,
Working Capital USD Mil,,,,,,,,,,,
