Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,2.28,37.53,43.35,55.4,56.56,30.63,43.2,59.39,51.45,14.4,23.27
Accounts Receivable,14.96,17.85,13.61,9.39,16.06,22.69,20.85,14.48,8.42,13.8,11.37
Inventory,18.02,15.27,13.52,14.16,11.42,19.47,15.59,9.0,2.75,3.9,4.53
Other Current Assets,14.34,3.03,2.7,4.05,2.77,7.26,3.65,4.47,0.5,2.39,1.91
Total Current Assets,49.6,73.68,73.18,83.0,86.81,80.04,83.28,87.34,63.13,34.48,41.08
Net PP&E,1.57,1.89,4.16,3.19,3.31,6.63,6.21,4.65,1.72,4.17,4.79
Intangibles,4.42,3.72,4.19,4.0,3.55,5.24,4.63,2.62,30.09,56.92,50.23
Other Long-Term Assets,44.4,20.71,18.47,9.81,6.33,8.1,5.88,5.39,5.07,4.42,3.91
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,10.42,8.5,6.11,7.92,8.33,12.2,8.4,6.58,2.55,4.65,4.87
Short-Term Debt,0.12,0.13,0.03,0.03,,,,,,,
Taxes Payable,,,0.1,0.09,0.81,0.52,0.66,0.3,1.88,0.18,0.22
Accrued Liabilities,3.5,15.96,4.24,2.94,9.55,13.71,12.21,8.89,4.06,5.49,6.68
Other Short-Term Liabilities,1.17,,,0.94,0.85,1.22,0.97,2.57,0.57,1.0,0.93
Total Current Liabilities,15.22,24.59,10.47,11.91,19.53,27.66,22.25,18.35,9.06,11.33,12.69
Long-Term Debt,,,,,,,,,,,
Other Long-Term Liabilities,7.26,18.14,16.42,11.54,8.6,10.58,7.9,3.51,6.2,8.5,7.29
Total Liabilities,22.48,42.73,26.89,23.45,28.13,38.24,30.15,21.85,15.26,19.83,19.98
Total Stockholders' Equity,77.52,57.27,73.11,76.55,71.87,61.76,69.85,78.15,84.74,80.17,80.02
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
