Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,2.66,2.73,9.99,6.09,6.5,10.84,8.98,5.63,6.83,8.45,8.15
Accounts Receivable,48.09,46.48,40.01,33.87,26.4,21.63,7.56,7.09,7.12,6.93,8.47
Inventory,13.65,15.78,12.0,14.9,17.64,20.81,22.89,26.89,28.18,29.07,28.46
Other Current Assets,2.85,3.14,8.99,10.55,11.71,5.89,3.61,3.34,2.32,2.53,1.37
Total Current Assets,67.25,68.13,70.99,65.41,62.25,59.17,43.05,42.95,44.45,46.97,46.45
Net PP&E,10.02,10.56,10.39,12.64,14.66,16.49,17.11,17.1,16.94,16.81,17.01
Intangibles,11.53,9.32,8.56,10.68,12.01,12.65,13.4,13.88,19.08,18.75,14.83
Other Long-Term Assets,11.2,11.99,10.06,11.27,11.08,11.69,26.44,26.07,19.53,17.47,21.71
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.65,5.58,3.0,4.07,6.12,7.83,8.55,6.94,7.23,8.29,7.39
Short-Term Debt,1.78,,0.71,0.12,1.07,4.1,0.06,0.05,1.78,2.36,2.29
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,13.56,13.1,10.7,13.19,14.34,8.56,14.59,8.24,7.78,8.24,15.77
Other Short-Term Liabilities,12.14,5.13,0.73,,,6.45,,9.67,9.0,6.45,
Total Current Liabilities,32.13,23.81,15.14,17.39,21.53,26.95,23.2,24.91,25.78,25.35,25.46
Long-Term Debt,45.62,45.36,48.14,38.89,31.49,26.49,24.56,26.47,22.76,21.6,24.69
Other Long-Term Liabilities,4.68,19.02,21.8,24.28,26.82,23.62,18.37,19.37,17.7,16.76,13.21
Total Liabilities,82.43,88.18,85.08,80.55,79.84,77.05,66.13,70.75,66.25,63.71,63.35
Total Stockholders' Equity,17.57,11.82,14.92,19.45,20.16,22.95,33.87,29.25,33.75,36.29,36.65
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
