Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,1.82,5.09,1.1,3.28,6.05,1.58,19.75,4.79,1.97,1.18,1.76
Accounts Receivable,6.28,5.78,5.53,5.35,5.11,5.58,4.54,6.01,5.5,7.17,8.46
Inventory,0.92,1.03,1.01,0.51,0.41,0.48,0.37,0.5,0.51,0.49,0.5
Other Current Assets,0.98,0.98,2.31,1.01,1.85,1.79,1.24,1.43,1.12,1.97,1.4
Total Current Assets,10.0,12.89,9.95,10.16,13.42,9.43,25.9,12.73,9.11,10.81,12.12
Net PP&E,45.62,42.77,40.25,39.87,38.37,39.36,32.45,38.65,34.15,34.71,34.01
Intangibles,32.64,36.18,44.58,45.82,44.47,47.87,38.74,45.43,49.15,50.28,50.1
Other Long-Term Assets,11.73,8.17,5.23,4.15,3.73,3.34,2.91,3.19,7.59,4.2,3.77
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.4,1.91,1.91,1.79,1.82,2.1,1.81,2.41,2.61,2.9,
Short-Term Debt,1.58,2.47,3.17,3.43,2.1,1.94,1.43,1.18,2.65,1.08,0.86
Taxes Payable,1.21,1.06,0.64,2.58,0.47,0.53,0.57,0.63,0.84,0.62,
Accrued Liabilities,4.12,3.87,4.15,2.76,4.09,4.55,3.63,4.14,4.46,4.5,
Other Short-Term Liabilities,3.92,3.51,2.95,3.34,4.87,2.84,2.43,3.72,3.76,3.32,10.5
Total Current Liabilities,13.23,12.8,12.82,13.91,13.35,11.97,9.87,12.06,14.33,12.43,11.36
Long-Term Debt,15.09,23.21,24.22,20.57,21.83,21.14,32.71,47.5,42.39,43.18,45.28
Other Long-Term Liabilities,44.63,43.38,44.65,47.99,49.22,52.17,43.25,35.16,36.57,35.17,32.82
Total Liabilities,72.95,79.39,81.69,82.47,84.39,85.28,85.83,94.72,93.28,90.78,89.46
Total Stockholders' Equity,27.05,20.61,18.31,17.53,15.61,14.72,14.17,5.28,6.72,9.22,10.54
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
