Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,8.6,10.3,13.2,17.49,17.84,20.3,22.68,23.3,23.23,25.6,27.2
Accounts Receivable,15.44,14.57,14.24,13.38,13.71,12.53,12.84,13.1,13.57,15.17,14.89
Inventory,14.07,15.15,13.66,14.25,12.91,12.77,10.84,11.58,12.8,10.32,10.59
Other Current Assets,5.43,6.48,5.45,6.21,6.4,6.01,6.68,6.88,6.11,4.15,3.79
Total Current Assets,43.53,46.5,46.55,51.34,50.86,51.61,53.04,54.86,55.7,55.24,56.47
Net PP&E,20.2,24.78,24.73,22.49,21.03,22.22,22.85,21.93,22.58,23.35,22.02
Intangibles,33.67,27.06,26.3,22.84,23.46,21.55,19.45,18.03,15.92,14.66,14.66
Other Long-Term Assets,2.6,1.67,2.43,3.34,4.66,4.63,4.65,5.18,5.8,6.75,6.85
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.63,3.66,2.37,2.53,3.55,3.2,2.43,3.23,3.57,3.92,3.63
Short-Term Debt,10.39,19.78,14.79,14.48,23.66,19.31,22.59,39.66,38.85,39.92,41.11
Taxes Payable,,1.74,1.23,1.37,,,1.34,,1.29,1.57,1.49
Accrued Liabilities,15.27,11.93,11.75,11.85,13.72,12.48,10.76,14.11,12.65,13.86,11.72
Other Short-Term Liabilities,1.52,1.47,1.56,1.56,1.46,1.83,1.74,2.3,1.73,1.79,1.75
Total Current Liabilities,31.81,38.58,31.7,31.78,42.38,36.82,38.87,59.3,58.09,61.05,59.7
Long-Term Debt,0.82,0.67,0.53,0.38,0.24,0.13,12.22,25.29,40.48,38.75,36.19
Other Long-Term Liabilities,4.95,3.51,4.13,3.83,5.03,5.41,6.8,6.92,7.14,7.28,7.02
Total Liabilities,37.58,42.75,36.36,35.99,47.66,42.35,57.89,91.51,105.7,107.08,102.91
Total Stockholders' Equity,62.42,57.25,63.64,64.01,52.34,57.65,42.11,8.49,-5.7,-7.08,-2.91
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
