Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,688.0,844.0,967.0,1058.0,1326.0,1530.0,1692.0,2080.0,2184.0,2735.0,3529.0
Gross Margin %,56.0,55.8,57.6,57.7,57.9,59.2,59.2,60.8,62.5,62.1,61.7
Operating Income USD Mil,117.0,134.0,180.0,174.0,172.0,207.0,174.0,278.0,308.0,260.0,497.0
Operating Margin %,16.9,15.8,18.6,16.5,13.0,13.5,10.3,13.3,14.1,9.5,14.1
Net Income USD Mil,84.0,99.0,135.0,138.0,135.0,158.0,132.0,195.0,240.0,153.0,401.0
Earnings Per Share USD,0.39,0.44,0.59,0.6,0.58,0.67,0.55,0.79,0.97,0.48,1.0
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,264.0,224.0,227.0,230.0,234.0,237.0,240.0,246.0,246.0,316.0,421.0
Book Value Per Share * USD,,3.88,4.5,5.15,5.98,6.79,7.52,8.68,9.12,20.32,19.31
Operating Cash Flow USD Mil,142.0,189.0,235.0,266.0,342.0,314.0,496.0,628.0,613.0,638.0,881.0
Cap Spending USD Mil,-12.0,-18.0,-33.0,-32.0,-57.0,-68.0,-91.0,-115.0,-123.0,-147.0,-240.0
Free Cash Flow USD Mil,130.0,171.0,202.0,234.0,285.0,246.0,405.0,513.0,490.0,490.0,642.0
Free Cash Flow Per Share * USD,,0.64,0.89,1.02,1.22,1.04,1.4,2.39,1.84,1.73,
Working Capital USD Mil,10.0,-228.0,-136.0,-26.0,-119.0,-13.0,-366.0,-184.0,-5.0,-478.0,
