Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,37522.0,36853.0,37243.0,39323.0,42381.0,44411.0,46517.0,48681.0,50367.0,55371.0,56053.0
Gross Margin %,19.2,19.1,19.3,18.8,18.4,18.0,17.6,17.6,17.9,19.1,19.0
Operating Income USD Mil,1880.0,1872.0,1976.0,1932.0,1891.0,1658.0,1587.0,1229.0,1851.0,2053.0,2109.0
Operating Margin %,5.0,5.1,5.3,4.9,4.5,3.7,3.4,2.5,3.7,3.7,3.8
Net Income USD Mil,1106.0,1056.0,1180.0,1152.0,1122.0,992.0,932.0,687.0,950.0,1143.0,1186.0
Earnings Per Share USD,1.81,1.77,1.99,1.96,1.9,1.67,1.58,1.15,1.64,2.08,2.19
Dividends USD,,,0.59,1.03,1.07,1.11,1.15,1.19,0.92,0.64,0.66
Payout Ratio % *,,,29.4,52.5,54.3,63.9,70.4,80.8,88.4,33.6,30.1
Shares Mil,611.0,596.0,594.0,589.0,589.0,593.0,590.0,597.0,577.0,549.0,542.0
Book Value Per Share * USD,3.6,,5.31,5.57,6.69,6.75,6.54,7.97,6.33,3.81,3.65
Operating Cash Flow USD Mil,1596.0,1582.0,885.0,1092.0,1404.0,1512.0,1493.0,1555.0,1933.0,2176.0,2005.0
Cap Spending USD Mil,-516.0,-465.0,-595.0,-636.0,-785.0,-512.0,-523.0,-543.0,-527.0,-686.0,-680.0
Free Cash Flow USD Mil,1080.0,1118.0,291.0,455.0,620.0,1000.0,970.0,1013.0,1406.0,1490.0,1325.0
Free Cash Flow Per Share * USD,1.12,,0.4,0.53,0.71,0.95,1.33,1.4,1.87,2.19,
Working Capital USD Mil,1676.0,2121.0,2067.0,2158.0,2661.0,2458.0,2314.0,2095.0,5619.0,1938.0,
