Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,3.56,6.16,4.32,10.12,7.87,6.2,8.55,8.22,12.61,8.31,7.54
Accounts Receivable,19.84,15.08,13.95,13.0,13.91,13.91,13.88,13.62,11.53,11.35,9.2
Inventory,14.11,13.27,10.38,10.18,10.95,12.18,11.95,11.78,10.1,9.26,8.69
Other Current Assets,0.71,0.81,1.02,0.88,1.12,1.74,1.56,1.66,1.74,0.84,2.17
Total Current Assets,38.22,35.32,29.66,34.17,33.84,34.03,35.94,35.27,35.98,29.76,27.6
Net PP&E,29.48,31.43,27.51,25.39,24.99,25.17,25.11,26.24,26.25,29.54,18.24
Intangibles,8.92,9.29,28.94,26.58,25.99,25.07,24.62,23.84,23.18,26.79,47.41
Other Long-Term Assets,23.37,23.96,13.89,13.86,15.19,15.73,14.33,14.65,14.59,13.92,6.74
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,13.39,12.17,9.35,9.49,6.9,10.54,6.6,6.51,5.26,5.68,3.85
Short-Term Debt,4.37,8.39,4.88,4.63,4.75,0.57,1.64,1.37,1.46,1.14,3.57
Taxes Payable,,1.4,0.28,0.5,0.55,0.36,0.63,0.52,0.66,0.75,0.37
Accrued Liabilities,5.15,5.77,4.85,4.83,3.56,3.82,4.2,4.13,4.72,4.61,3.95
Other Short-Term Liabilities,2.59,1.1,0.5,0.52,3.93,1.23,4.16,4.31,4.38,3.66,2.0
Total Current Liabilities,25.5,28.83,19.88,19.97,19.7,16.51,17.22,16.85,16.49,15.85,13.74
Long-Term Debt,15.53,17.68,29.05,29.61,26.45,28.62,24.2,27.38,23.84,25.73,15.02
Other Long-Term Liabilities,19.23,23.78,19.9,19.04,21.67,24.88,19.87,23.17,22.38,25.74,19.38
Total Liabilities,60.27,70.29,68.83,68.62,67.81,70.01,61.3,67.41,62.7,67.32,48.15
Total Stockholders' Equity,39.73,29.71,31.17,31.38,32.19,29.99,38.7,32.59,37.3,32.68,51.85
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
