Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,4.02,3.52,1.36,4.48,3.81,10.08,4.33,2.28,1.68,5.86,5.86
Accounts Receivable,11.43,10.1,13.16,11.98,11.38,12.54,13.26,12.63,12.05,12.53,12.53
Inventory,3.17,3.92,3.56,3.63,3.74,3.23,3.66,3.54,3.75,3.88,3.88
Other Current Assets,2.48,2.48,2.16,2.98,2.88,2.38,1.47,2.52,2.61,2.21,2.21
Total Current Assets,21.1,20.02,20.23,23.07,21.81,28.23,22.72,20.97,20.09,24.48,24.48
Net PP&E,5.22,5.09,5.38,4.64,4.8,4.36,4.4,4.26,4.14,4.13,4.13
Intangibles,52.65,54.0,54.66,50.24,51.11,47.66,51.62,53.09,52.05,50.54,50.54
Other Long-Term Assets,21.03,20.88,19.73,22.05,22.27,19.74,21.26,21.68,23.72,20.85,20.85
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.17,2.55,1.13,1.87,1.15,1.33,2.05,2.28,2.01,1.82,1.82
Short-Term Debt,0.81,0.47,0.56,0.1,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,6.83,5.8,5.34,5.05,4.24,4.51,4.19,3.37,3.43,3.67,3.67
Other Short-Term Liabilities,13.22,12.71,10.1,10.26,11.75,10.0,10.7,11.62,10.79,10.27,10.27
Total Current Liabilities,23.02,21.53,17.13,17.29,17.21,15.9,17.02,17.35,16.31,15.84,15.84
Long-Term Debt,35.19,35.12,30.37,32.2,36.54,49.8,55.16,55.21,52.85,46.84,46.84
Other Long-Term Liabilities,10.74,12.07,12.76,12.6,12.77,12.5,11.73,11.51,11.83,11.86,11.86
Total Liabilities,68.95,68.72,60.26,62.09,66.53,78.21,83.91,84.08,81.0,74.53,74.53
Total Stockholders' Equity,31.05,31.28,39.74,37.91,33.47,21.79,16.09,15.92,19.0,25.47,25.47
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
