Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,1.72,2.02,3.2,3.33,3.87,2.04,1.76,1.86,2.28,1.91,2.25
Accounts Receivable,,,,,,,,,,,
Inventory,24.66,25.11,24.99,24.69,24.9,26.33,27.88,28.0,30.25,30.39,33.69
Other Current Assets,1.77,1.17,1.29,1.55,1.24,1.59,1.81,1.82,1.25,2.57,2.14
Total Current Assets,28.14,28.3,29.49,29.58,30.01,29.95,31.46,31.67,33.78,34.88,38.09
Net PP&E,69.2,69.52,68.17,65.55,65.47,65.75,63.65,62.95,62.61,57.98,53.88
Intangibles,,,,,,,,,,3.14,3.61
Other Long-Term Assets,2.66,2.18,2.35,4.88,4.52,4.3,4.89,5.38,3.61,4.0,4.43
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,12.03,12.57,12.99,12.91,12.97,14.26,15.3,16.1,18.02,19.33,24.2
Short-Term Debt,3.58,3.12,1.67,0.11,1.76,0.14,1.33,1.73,3.53,3.79,1.27
Taxes Payable,,,,,0.77,0.66,0.74,0.8,0.8,0.92,
Accrued Liabilities,1.37,1.33,1.75,1.98,3.15,2.47,2.87,2.95,3.2,2.86,2.2
Other Short-Term Liabilities,8.13,7.52,5.87,6.13,4.86,6.07,6.88,7.79,8.01,7.89,9.68
Total Current Liabilities,25.11,24.54,22.28,21.13,23.51,23.6,27.12,29.37,33.56,34.8,37.35
Long-Term Debt,18.06,15.42,13.72,19.4,20.96,27.64,30.81,33.98,36.93,41.83,42.33
Other Long-Term Liabilities,4.68,4.8,6.22,5.73,6.26,6.34,5.86,5.33,5.04,4.67,4.71
Total Liabilities,47.85,44.76,42.22,46.25,50.73,57.58,63.79,68.68,75.52,81.3,84.39
Total Stockholders' Equity,52.15,55.24,57.78,53.75,49.27,42.42,36.21,31.32,24.48,18.7,15.61
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
