Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1612.0,5138.0,5093.0,5451.0,6130.0,6796.0,6909.0,7720.0,9429.0,11076.0,11937.0
Gross Margin %,52.3,40.3,40.7,40.7,41.8,42.8,44.0,45.7,44.7,42.4,40.4
Operating Income USD Mil,428.0,298.0,523.0,722.0,1005.0,1109.0,1136.0,1352.0,1461.0,702.0,1332.0
Operating Margin %,26.5,5.8,10.3,13.2,16.4,16.3,16.4,17.5,15.5,6.3,11.2
Net Income USD Mil,217.0,-181.0,233.0,345.0,537.0,640.0,624.0,929.0,848.0,480.0,869.0
Earnings Per Share USD,0.99,-1.05,0.3,0.68,1.22,1.52,1.58,2.34,1.7,0.92,1.64
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,219.0,304.0,307.0,329.0,439.0,420.0,395.0,398.0,497.0,521.0,537.0
Book Value Per Share * USD,,,,,,,,,78.08,85.23,87.98
Operating Cash Flow USD Mil,390.0,384.0,605.0,931.0,720.0,949.0,1107.0,1014.0,2009.0,2047.0,1918.0
Cap Spending USD Mil,-162.0,-165.0,-154.0,-193.0,-280.0,-305.0,-335.0,-754.0,-872.0,-751.0,-1030.0
Free Cash Flow USD Mil,228.0,219.0,451.0,739.0,441.0,644.0,772.0,260.0,1136.0,1296.0,888.0
Free Cash Flow Per Share * USD,,,,,,,,,6.57,12.59,
Working Capital USD Mil,,1630.0,1567.0,1750.0,1006.0,1709.0,1515.0,1481.0,2351.0,2482.0,
