Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,4596.0,5005.0,5206.0,5418.0,5451.0,5112.0,5012.0,5083.0,5992.0,5900.0,5893.0
Gross Margin %,31.6,31.7,36.0,34.8,34.5,33.8,34.0,34.1,34.9,35.4,35.3
Operating Income USD Mil,704.0,538.0,912.0,995.0,941.0,813.0,882.0,759.0,1055.0,1073.0,1099.0
Operating Margin %,15.3,10.7,17.5,18.4,17.3,15.9,17.6,14.9,17.6,18.2,18.6
Net Income USD Mil,444.0,37.0,562.0,588.0,31.0,113.0,535.0,334.0,324.0,553.0,554.0
Earnings Per Share USD,3.26,0.28,4.28,4.6,0.26,1.01,4.95,3.11,2.59,4.44,4.49
Dividends USD,,,0.22,1.07,1.22,1.48,1.68,1.41,1.5,1.06,0.53
Payout Ratio % *,,,5.1,23.2,105.6,31.0,37.2,36.8,170.4,38.1,9.9
Shares Mil,137.0,133.0,130.0,126.0,114.0,111.0,107.0,106.0,125.0,124.0,123.0
Book Value Per Share * USD,10.82,,13.84,13.58,13.57,12.01,12.47,15.73,24.26,21.29,21.34
Operating Cash Flow USD Mil,550.0,666.0,803.0,833.0,852.0,833.0,849.0,854.0,924.0,569.0,621.0
Cap Spending USD Mil,-146.0,-121.0,-198.0,-324.0,-234.0,-178.0,-212.0,-148.0,-152.0,-119.0,-121.0
Free Cash Flow USD Mil,404.0,545.0,605.0,508.0,619.0,654.0,637.0,706.0,772.0,450.0,500.0
Free Cash Flow Per Share * USD,1.88,,3.82,2.78,3.11,4.74,3.98,5.22,6.19,5.29,
Working Capital USD Mil,1052.0,750.0,952.0,786.0,1186.0,651.0,877.0,1243.0,644.0,147.0,
