Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,27.64,8.66,25.79,30.53,17.79,41.65,47.8,41.78,7.04,19.08,6.27
Accounts Receivable,6.93,14.99,9.4,8.16,6.93,5.01,4.7,4.3,3.78,2.68,2.38
Inventory,3.04,6.6,3.57,5.06,6.17,3.59,2.52,2.23,1.71,1.65,1.08
Other Current Assets,4.47,2.22,3.14,3.73,1.79,1.89,5.42,8.58,2.96,6.07,0.84
Total Current Assets,42.09,32.48,41.9,47.48,32.67,52.13,60.43,56.89,15.48,29.49,10.58
Net PP&E,40.23,41.23,36.67,33.56,27.64,25.33,20.11,17.07,12.78,9.1,8.06
Intangibles,4.72,0.08,16.77,14.45,12.13,0.27,,22.55,68.55,58.82,79.48
Other Long-Term Assets,12.96,26.22,4.65,4.52,27.56,22.27,19.46,3.49,3.19,2.59,1.89
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.12,7.3,6.27,4.16,3.97,3.34,3.13,1.89,2.05,1.8,1.27
Short-Term Debt,15.37,0.59,,,,,,,,,
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,14.89,25.38,18.46,17.08,16.54,11.21,9.75,9.6,10.0,8.23,8.89
Other Short-Term Liabilities,8.5,12.86,14.9,25.47,7.57,8.03,9.46,7.11,10.5,6.09,6.63
Total Current Liabilities,41.89,46.13,39.63,46.71,28.08,22.58,22.34,18.6,22.56,16.12,16.78
Long-Term Debt,39.9,73.53,,,,,,,,,
Other Long-Term Liabilities,11.86,10.51,85.59,65.06,75.59,77.21,72.87,72.29,65.43,67.37,64.41
Total Liabilities,93.66,130.17,125.22,111.77,103.66,99.79,95.2,90.89,87.99,83.49,81.19
Total Stockholders' Equity,6.34,-30.17,-25.22,-11.77,-3.66,0.21,4.8,9.11,12.01,16.51,18.81
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
