Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,15.25,14.66,12.13,9.78,7.04,11.83,12.73,14.95,13.96,19.77,19.77
Accounts Receivable,4.21,3.25,2.63,2.8,3.39,4.73,4.41,3.31,3.92,3.76,3.76
Inventory,,,,,,,,,,,
Other Current Assets,12.48,10.72,11.39,13.87,19.03,5.19,7.65,8.81,4.48,4.46,4.46
Total Current Assets,31.94,28.63,26.14,26.44,29.46,21.75,24.79,27.07,22.35,27.98,27.98
Net PP&E,3.09,3.73,4.06,4.43,4.08,4.82,4.91,4.69,3.36,3.31,3.31
Intangibles,60.31,65.34,68.62,66.47,57.73,64.06,60.06,57.63,66.06,63.19,63.19
Other Long-Term Assets,4.66,2.31,1.17,2.66,8.73,9.37,10.24,10.61,8.23,5.51,5.51
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,0.45,0.48,0.41,0.49,0.38,0.51,0.38,0.32,0.32,0.26,0.26
Short-Term Debt,0.15,0.04,0.04,,,,,,,2.57,2.57
Taxes Payable,0.35,1.01,0.12,0.18,,,2.41,0.19,0.24,0.36,0.36
Accrued Liabilities,9.68,7.69,4.62,2.94,13.57,3.17,5.86,5.56,4.11,3.86,3.86
Other Short-Term Liabilities,9.85,4.54,5.28,6.32,5.93,8.37,6.92,7.29,7.9,7.65,7.65
Total Current Liabilities,20.48,13.76,10.47,9.93,19.88,12.06,15.57,13.36,12.57,14.7,14.7
Long-Term Debt,0.16,0.14,0.1,,,,,,24.8,24.45,24.45
Other Long-Term Liabilities,18.92,14.27,14.57,14.02,11.07,13.21,13.35,12.48,11.24,12.66,12.66
Total Liabilities,39.56,28.17,25.13,23.94,30.95,25.27,28.92,25.83,48.6,51.81,51.81
Total Stockholders' Equity,60.44,71.83,74.87,76.06,69.05,74.73,71.08,74.17,51.4,48.19,48.19
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
