Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,15.18,14.18,20.92,24.03,27.9,27.56,24.86,27.03,27.05,27.24,23.34
Accounts Receivable,1.97,2.09,,,1.64,2.02,2.84,2.21,2.52,2.66,
Inventory,39.44,38.93,36.83,36.57,35.05,34.66,34.99,34.95,34.04,34.04,34.43
Other Current Assets,6.96,6.12,5.18,6.18,3.57,5.94,4.7,4.47,5.43,4.64,7.74
Total Current Assets,63.55,61.31,62.93,66.78,68.16,70.18,67.39,68.66,69.03,68.57,65.51
Net PP&E,16.04,15.02,13.74,13.33,14.0,14.55,16.92,17.33,17.51,19.92,21.9
Intangibles,11.15,8.93,8.66,7.49,6.49,5.49,6.6,5.76,5.32,5.13,5.32
Other Long-Term Assets,9.27,14.74,14.67,12.4,11.34,9.77,9.09,8.25,8.13,6.38,7.26
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,7.17,6.5,7.63,7.7,7.87,8.85,7.54,8.41,7.39,6.48,6.32
Short-Term Debt,,,,,,,,,,,
Taxes Payable,,,,,,1.43,1.61,1.85,2.52,1.85,
Accrued Liabilities,3.23,4.07,7.74,9.19,10.1,1.9,2.72,4.31,5.75,6.33,8.55
Other Short-Term Liabilities,5.02,3.96,,,,6.71,6.08,4.89,2.89,1.28,
Total Current Liabilities,15.42,14.53,15.38,16.89,17.97,18.89,17.95,19.46,18.54,15.94,14.87
Long-Term Debt,6.8,4.94,4.9,4.73,4.43,3.95,,,,,
Other Long-Term Liabilities,7.85,13.66,10.55,8.46,8.43,6.56,10.47,10.76,13.83,13.49,15.45
Total Liabilities,30.08,33.12,30.82,30.08,30.82,29.4,28.42,30.22,32.37,29.43,30.32
Total Stockholders' Equity,69.92,66.88,69.18,69.92,69.18,70.6,71.58,69.78,67.63,70.57,69.68
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
