Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,7226.0,7569.0,5776.0,6110.0,7369.0,6627.0,7155.0,7753.0,6956.0,6794.0,7591.0
Gross Margin %,36.3,36.1,36.3,39.7,38.6,38.9,38.8,38.4,36.9,36.4,36.6
Operating Income USD Mil,981.0,1029.0,588.0,923.0,1124.0,1059.0,1162.0,1215.0,921.0,714.0,879.0
Operating Margin %,13.6,13.6,10.2,15.1,15.3,16.0,16.2,15.7,13.2,10.5,11.6
Net Income USD Mil,661.0,591.0,356.0,700.0,895.0,811.0,1003.0,775.0,870.0,509.0,676.0
Earnings Per Share USD,3.26,3.12,1.91,3.7,4.74,4.41,5.78,4.59,5.46,3.25,4.3
Dividends USD,,,,0.88,1.18,1.33,1.45,1.55,1.64,1.3,0.91
Payout Ratio % *,,,,18.6,25.5,28.0,25.9,27.6,41.4,41.4,21.2
Shares Mil,203.0,189.0,187.0,189.0,189.0,184.0,174.0,169.0,159.0,157.0,157.0
Book Value Per Share * USD,13.69,14.91,,16.45,20.52,22.52,22.62,19.8,21.06,23.06,23.38
Operating Cash Flow USD Mil,875.0,1003.0,796.0,947.0,1078.0,1273.0,1155.0,976.0,949.0,862.0,791.0
Cap Spending USD Mil,-174.0,-176.0,-120.0,-183.0,-272.0,-297.0,-237.0,-166.0,-154.0,-165.0,-200.0
Free Cash Flow USD Mil,701.0,827.0,676.0,764.0,806.0,976.0,918.0,810.0,795.0,697.0,591.0
Free Cash Flow Per Share * USD,2.15,3.3,,2.44,3.7,3.01,4.44,3.49,4.51,4.97,
Working Capital USD Mil,863.0,1377.0,1554.0,2067.0,2194.0,1041.0,1625.0,857.0,1054.0,649.0,
