Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,22.1,21.35,12.19,14.36,14.23,17.6,18.83,21.34,13.91,10.4,9.83
Accounts Receivable,9.07,8.8,7.44,7.73,12.29,11.61,5.44,5.12,6.47,6.56,7.71
Inventory,4.6,3.94,5.82,4.31,4.13,3.8,3.58,3.35,4.49,3.95,4.6
Other Current Assets,4.87,4.66,3.5,4.6,0.05,0.04,4.83,4.28,1.29,1.78,1.26
Total Current Assets,40.64,38.76,28.96,31.01,30.71,33.05,32.68,34.09,26.16,22.7,23.4
Net PP&E,13.65,11.95,10.7,9.81,9.01,7.78,7.2,6.95,8.22,7.76,7.84
Intangibles,36.33,35.25,51.84,52.05,52.61,48.81,47.59,45.63,52.91,62.41,61.46
Other Long-Term Assets,9.37,14.04,8.5,7.14,7.68,10.35,12.53,13.34,12.71,7.14,7.29
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.97,1.58,2.05,2.06,2.04,2.29,1.88,2.03,2.16,2.64,2.02
Short-Term Debt,5.05,8.39,2.57,2.88,2.14,3.46,3.5,3.04,6.07,6.23,5.49
Taxes Payable,,,4.75,0.49,0.54,0.54,0.39,0.31,0.25,0.25,0.58
Accrued Liabilities,1.71,1.5,1.05,1.08,1.15,1.1,1.04,1.05,1.41,1.45,1.12
Other Short-Term Liabilities,10.21,12.84,7.06,8.16,9.06,8.01,6.76,6.34,7.67,7.56,7.18
Total Current Liabilities,18.94,24.3,17.48,14.67,14.93,15.4,13.58,12.78,17.56,18.13,16.39
Long-Term Debt,6.35,7.16,20.28,19.7,18.58,16.7,17.7,18.63,17.21,18.3,20.04
Other Long-Term Liabilities,18.31,16.75,19.97,20.6,22.77,24.16,24.38,26.47,26.59,28.88,28.27
Total Liabilities,43.6,48.22,57.73,54.97,56.28,56.26,55.66,57.88,61.35,65.3,64.7
Total Stockholders' Equity,56.4,51.78,42.27,45.03,43.72,43.74,44.34,42.12,38.65,34.7,35.3
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
