Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,25914.0,29528.0,30765.0,35167.0,21407.0,19050.0,19657.0,20247.0,20405.0,20853.0,25134.0
Gross Margin %,55.9,57.3,57.1,58.3,53.2,53.3,53.2,54.5,57.1,56.7,54.7
Operating Income USD Mil,4579.0,5694.0,6236.0,6088.0,1629.0,1360.0,2133.0,2599.0,2867.0,3185.0,1983.0
Operating Margin %,17.7,19.3,20.3,17.3,7.6,7.1,10.9,12.8,14.1,15.3,7.9
Net Income USD Mil,3606.0,4881.0,5746.0,4626.0,4728.0,5963.0,2576.0,2284.0,4423.0,1400.0,2103.0
Earnings Per Share USD,2.31,3.12,3.69,2.96,3.01,3.72,1.62,1.49,2.92,0.94,1.28
Dividends USD,1.27,1.41,1.56,1.72,1.88,2.01,0.56,0.88,0.96,1.04,0.26
Payout Ratio % *,54.9,46.3,42.3,58.1,63.4,54.0,22.3,63.5,56.3,,77.5
Shares Mil,1560.0,1564.0,1555.0,1556.0,1567.0,1592.0,1574.0,1527.0,1506.0,1483.0,1681.0
Book Value Per Share * USD,11.47,11.27,14.73,14.47,15.67,16.95,15.31,15.18,14.34,,14.04
Operating Cash Flow USD Mil,5184.0,7344.0,7275.0,8736.0,8970.0,9314.0,3324.0,3675.0,2966.0,3203.0,5100.0
Cap Spending USD Mil,-1656.0,-1288.0,-1089.0,-1015.0,-1492.0,-1795.0,-1145.0,-1077.0,-1110.0,-1121.0,-1109.0
Free Cash Flow USD Mil,3528.0,6056.0,6186.0,7721.0,7479.0,7519.0,2179.0,2598.0,1856.0,2082.0,3991.0
Free Cash Flow Per Share * USD,2.26,3.88,3.97,4.96,5.36,4.72,1.25,1.93,1.47,,
Working Capital USD Mil,4939.0,5451.0,10264.0,5055.0,8289.0,18042.0,9740.0,4729.0,4969.0,20116.0,
