Key Financials GBP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue GBP Mil,425.0,442.0,431.0,480.0,474.0,532.0,583.0,648.0,669.0,750.0,750.0
Gross Margin %,,,,,,,,,,,
Operating Income GBP Mil,118.0,88.0,101.0,79.0,135.0,164.0,189.0,220.0,229.0,259.0,259.0
Operating Margin %,27.8,20.0,23.4,16.3,28.5,30.8,32.3,34.0,34.2,34.5,34.5
Net Income GBP Mil,90.0,72.0,66.0,14.0,100.0,120.0,150.0,185.0,187.0,191.0,191.0
Earnings Per Share GBP,0.6,0.5,0.45,0.1,0.68,0.81,1.0,1.24,1.24,1.27,1.27
Dividends GBP,0.39,0.39,0.39,0.39,0.41,0.42,0.46,0.51,0.55,0.58,0.58
Payout Ratio % *,63.4,90.3,70.0,92.2,60.0,56.9,50.2,44.9,44.9,43.8,45.5
Shares Mil,148.0,143.0,146.0,147.0,147.0,149.0,150.0,150.0,150.0,150.0,150.0
Book Value Per Share * GBP,4.86,4.82,5.06,5.04,5.21,5.4,5.79,6.29,6.81,7.52,8.16
Operating Cash Flow GBP Mil,482.0,-169.0,-135.0,68.0,63.0,207.0,340.0,-18.0,-19.0,120.0,120.0
Cap Spending GBP Mil,-15.0,-23.0,-26.0,-44.0,-52.0,-57.0,-26.0,-33.0,-35.0,-40.0,-40.0
Free Cash Flow GBP Mil,467.0,-192.0,-161.0,24.0,11.0,149.0,314.0,-51.0,-54.0,79.0,79.0
Free Cash Flow Per Share * GBP,3.15,-1.34,-4.05,-2.42,0.08,4.49,-0.58,1.53,-0.81,2.96,
Working Capital GBP Mil,,,,,,,,,,,
