Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.45,0.15,0.23,0.39,0.54,0.29,0.21,0.36,0.64,0.33,0.61
Accounts Receivable,17.38,16.71,15.2,11.13,12.65,13.01,13.44,14.29,13.52,13.95,13.65
Inventory,2.01,2.03,2.13,1.25,1.26,1.21,1.22,1.2,1.2,1.22,1.28
Other Current Assets,1.63,2.2,2.53,4.91,3.35,2.66,2.36,2.14,2.48,0.8,0.96
Total Current Assets,21.47,21.09,20.08,17.68,17.81,17.16,17.23,18.0,17.84,16.3,16.5
Net PP&E,53.59,56.12,58.4,43.21,42.89,41.24,41.41,41.0,39.82,41.98,42.45
Intangibles,20.79,19.58,18.48,34.4,34.28,37.03,36.68,36.67,37.33,36.68,35.92
Other Long-Term Assets,4.14,3.2,3.04,4.7,5.02,4.56,4.67,4.33,5.02,5.05,5.14
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.86,5.13,4.92,3.35,2.98,3.01,3.33,3.75,3.8,4.26,
Short-Term Debt,0.09,0.23,0.06,0.05,0.03,0.03,1.19,0.76,0.65,1.03,1.06
Taxes Payable,,0.82,,0.47,0.59,0.62,0.8,1.27,0.67,0.68,
Accrued Liabilities,8.57,3.84,9.72,3.5,3.19,3.3,3.46,3.76,2.68,2.89,
Other Short-Term Liabilities,,4.97,,3.61,4.13,3.94,3.96,3.64,3.62,3.91,12.08
Total Current Liabilities,13.52,14.99,14.7,10.98,10.92,10.9,12.75,13.18,11.42,12.77,13.14
Long-Term Debt,27.95,26.47,24.13,51.97,47.64,45.45,38.62,35.77,35.16,39.06,36.91
Other Long-Term Liabilities,16.49,17.28,17.0,10.77,11.49,10.56,9.53,9.42,9.31,4.24,4.22
Total Liabilities,57.96,58.75,55.83,73.71,70.04,66.91,60.9,58.37,55.89,56.06,54.27
Total Stockholders' Equity,42.04,41.25,44.17,26.29,29.96,33.09,39.1,41.63,44.11,43.94,45.73
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
