Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,907.0,1153.0,1149.0,1240.0,1694.0,1880.0,2100.0,1637.0,1940.0,2129.0,1945.0
Gross Margin %,80.7,83.3,83.8,83.1,87.1,85.1,85.8,76.7,68.5,65.3,65.9
Operating Income USD Mil,405.0,555.0,92.0,577.0,478.0,742.0,834.0,262.0,114.0,245.0,222.0
Operating Margin %,44.6,48.1,8.0,46.5,28.2,39.5,39.7,16.0,5.9,11.5,11.4
Net Income USD Mil,589.0,446.0,132.0,331.0,539.0,833.0,971.0,922.0,-559.0,628.0,532.0
Earnings Per Share USD,2.71,1.79,0.4,1.0,1.29,1.9,2.13,2.0,-1.21,1.34,1.13
Dividends USD,1.78,1.82,1.84,1.86,1.92,2.0,2.1,2.18,2.26,2.1,1.48
Payout Ratio % *,265.7,236.4,736.0,200.0,125.3,109.3,107.0,106.4,448.0,,126.5
Shares Mil,209.0,238.0,275.0,306.0,400.0,428.0,456.0,459.0,463.0,467.0,469.0
Book Value Per Share * USD,17.61,19.46,18.72,20.68,21.64,23.28,23.28,23.43,21.84,19.62,11.79
Operating Cash Flow USD Mil,453.0,569.0,516.0,580.0,724.0,1035.0,1149.0,1249.0,1222.0,1214.0,853.0
Cap Spending USD Mil,-887.0,-216.0,-137.0,-305.0,-198.0,-1896.0,-260.0,-754.0,-1665.0,-980.0,-815.0
Free Cash Flow USD Mil,-434.0,353.0,378.0,276.0,526.0,-862.0,889.0,495.0,-442.0,234.0,38.0
Free Cash Flow Per Share * USD,-2.07,1.48,1.38,0.9,1.29,-2.01,-1.39,1.1,-0.7,1.11,
Working Capital USD Mil,,-145.0,-206.0,716.0,-239.0,-42.0,347.0,-259.0,666.0,-384.0,
