Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.13,0.07,0.17,0.09,0.1,0.17,0.18,0.14,0.26,0.41,0.48
Accounts Receivable,2.02,2.52,2.63,2.49,2.29,2.62,2.88,2.82,3.03,2.88,2.82
Inventory,0.21,0.22,0.22,0.21,0.19,0.2,0.22,0.23,0.22,0.21,0.22
Other Current Assets,0.97,0.34,0.7,1.01,6.88,0.41,0.38,0.9,0.3,0.75,0.92
Total Current Assets,3.33,3.16,3.71,3.79,9.46,3.39,3.65,4.1,3.81,4.24,4.44
Net PP&E,72.04,76.51,79.37,79.56,74.59,79.76,82.23,80.77,80.81,81.12,80.99
Intangibles,19.0,12.84,9.29,8.88,8.09,8.2,8.01,7.49,7.55,7.28,7.09
Other Long-Term Assets,5.63,7.49,7.62,7.76,7.87,8.65,6.11,7.64,7.82,7.36,7.47
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.31,1.13,1.03,1.42,1.65,1.9,1.76,1.77,0.73,0.83,0.74
Short-Term Debt,2.45,4.95,1.29,1.95,3.68,2.62,4.28,3.17,3.96,7.7,4.08
Taxes Payable,,,,0.33,0.25,0.24,0.22,0.15,0.15,0.17,0.32
Accrued Liabilities,2.23,2.27,0.79,0.43,0.4,0.37,0.35,0.35,3.22,3.64,3.1
Other Short-Term Liabilities,,,1.41,1.37,4.1,1.63,1.61,2.25,0.84,0.61,0.78
Total Current Liabilities,5.99,8.35,4.52,5.5,10.08,6.76,8.2,7.69,8.89,12.94,9.02
Long-Term Debt,36.14,34.95,39.49,38.59,36.14,35.26,34.59,33.68,34.0,31.11,34.46
Other Long-Term Liabilities,22.53,25.49,26.22,26.56,25.09,27.78,25.84,28.15,27.82,27.72,28.02
Total Liabilities,64.66,68.78,70.23,70.65,71.3,69.8,68.63,69.53,70.72,71.77,71.5
Total Stockholders' Equity,35.34,31.22,29.77,29.35,28.7,30.2,31.37,30.47,29.28,28.23,28.5
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
