Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,6.67,3.29,6.59,12.15,12.32,20.39,14.48,9.26,12.34,11.31,10.79
Accounts Receivable,20.0,19.43,18.57,18.21,18.0,15.72,17.96,18.78,18.62,19.06,16.77
Inventory,,,,,,,,,,,
Other Current Assets,3.45,5.03,3.93,4.08,5.08,4.0,4.53,5.25,3.52,3.93,3.66
Total Current Assets,30.12,27.75,29.09,34.43,35.4,40.12,36.97,33.29,34.48,34.3,31.22
Net PP&E,45.24,57.29,56.39,51.75,50.78,46.04,49.6,51.54,47.9,46.56,50.75
Intangibles,8.21,7.83,8.42,7.98,7.74,7.14,8.19,8.55,12.97,13.66,13.87
Other Long-Term Assets,16.43,7.13,6.1,5.84,6.08,6.7,5.24,6.63,4.65,5.48,4.17
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.66,5.82,5.54,5.88,6.63,5.86,6.84,7.76,6.75,7.53,6.79
Short-Term Debt,9.0,6.51,2.68,1.06,0.1,4.58,0.13,2.6,7.88,9.12,11.01
Taxes Payable,,,0.81,,,,,,,,
Accrued Liabilities,3.62,4.5,4.44,6.64,7.56,6.92,8.41,8.54,7.6,8.88,9.17
Other Short-Term Liabilities,7.93,7.69,6.1,4.0,4.49,4.22,4.31,5.45,5.69,3.52,2.45
Total Current Liabilities,25.2,24.52,19.57,17.57,18.77,21.59,19.69,24.36,27.92,29.05,29.42
Long-Term Debt,19.23,24.46,27.19,31.23,31.97,28.53,29.89,27.81,29.54,30.7,34.71
Other Long-Term Liabilities,24.37,29.75,29.31,27.46,28.98,37.9,32.54,41.8,36.1,39.25,32.22
Total Liabilities,68.8,78.73,76.07,76.25,79.73,88.03,82.12,93.96,93.55,99.0,96.35
Total Stockholders' Equity,31.2,21.27,23.93,23.75,20.27,11.97,17.88,6.04,6.45,1.0,3.65
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
