Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,,,,8706.0,10048.0,8698.0,9230.0,9747.0,10972.0,12070.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,,,,,3010.0,3376.0,3142.0,3386.0,3531.0,3570.0,3357.0
Operating Margin %,,,,,34.6,33.6,36.1,36.7,36.2,32.5,27.8
Net Income USD Mil,,,,,1890.0,2119.0,1979.0,2109.0,2214.0,2251.0,2126.0
Earnings Per Share USD,,,,,,3.0,2.81,2.78,2.65,2.71,2.63
Dividends USD,,,,,,,,,,0.26,0.26
Payout Ratio % *,,,,,,,,,,,9.9
Shares Mil,,,,,,705.0,705.0,758.0,836.0,832.0,810.0
Book Value Per Share * USD,,,,,,,,,,,353.16
Operating Cash Flow USD Mil,,,,,5516.0,5637.0,5679.0,5340.0,6184.0,6823.0,8482.0
Cap Spending USD Mil,,,,,,,,,,,
Free Cash Flow USD Mil,,,,,5516.0,5637.0,5679.0,5340.0,6184.0,6823.0,8482.0
Free Cash Flow Per Share * USD,,,,,,,,,,,
Working Capital USD Mil,,,,,,,,,,,
