Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.48,14.53,12.58,10.92,7.54,7.09,5.76,11.74,8.11,3.51,2.7
Accounts Receivable,5.86,4.61,7.54,3.74,3.89,4.47,4.62,4.09,4.14,2.46,2.99
Inventory,5.27,4.4,2.93,3.56,3.78,4.22,3.74,4.42,4.55,1.86,1.85
Other Current Assets,1.4,1.63,1.25,1.44,1.18,1.18,1.92,2.29,0.62,0.59,0.71
Total Current Assets,13.01,25.17,24.3,19.67,16.39,16.96,16.04,22.54,17.41,8.43,8.24
Net PP&E,53.14,59.99,60.25,35.97,36.01,66.96,69.04,68.99,74.17,85.19,85.31
Intangibles,9.27,0.26,0.26,0.3,0.32,0.32,0.29,0.3,0.32,0.21,0.22
Other Long-Term Assets,24.58,14.58,15.19,44.06,47.28,15.76,14.63,8.17,8.1,6.17,6.23
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.65,2.26,2.08,2.53,2.67,2.61,2.65,2.46,2.61,1.21,1.41
Short-Term Debt,2.36,2.44,0.05,,0.1,2.7,0.01,,,1.47,0.34
Taxes Payable,,0.56,,,0.33,,0.28,,,0.83,0.23
Accrued Liabilities,4.94,5.25,4.14,5.47,4.02,4.46,3.01,4.36,4.4,2.56,3.26
Other Short-Term Liabilities,,0.32,,,0.35,,1.83,,,0.21,0.33
Total Current Liabilities,10.95,10.83,6.26,8.0,7.47,9.77,7.78,6.82,7.01,6.27,5.56
Long-Term Debt,28.71,33.52,37.27,37.68,35.45,31.38,37.29,40.14,43.26,35.55,35.02
Other Long-Term Liabilities,26.82,26.89,29.95,19.98,23.24,26.53,8.06,13.62,10.73,10.48,10.27
Total Liabilities,66.47,71.23,73.48,65.66,66.16,67.68,53.13,60.59,61.0,52.29,50.85
Total Stockholders' Equity,33.53,28.77,26.52,34.34,33.84,32.32,46.87,39.41,39.0,47.71,49.15
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
