Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,2.32,3.18,4.62,4.54,0.9,1.48,4.24,6.34,7.94,9.55,9.5
Accounts Receivable,18.02,15.03,13.32,13.33,12.8,9.99,8.24,5.37,3.39,3.58,3.92
Inventory,4.78,4.58,4.88,4.1,3.64,2.9,2.23,1.37,1.17,1.13,1.4
Other Current Assets,1.38,2.86,4.29,2.83,3.97,4.94,5.39,4.26,0.38,0.68,0.53
Total Current Assets,26.5,25.65,27.11,24.81,21.31,19.31,20.11,17.33,12.88,14.94,15.35
Net PP&E,56.0,56.91,56.43,59.69,63.14,66.31,67.29,71.33,77.06,82.44,76.24
Intangibles,4.69,4.28,4.16,6.8,5.89,5.08,4.37,4.82,1.1,1.31,1.35
Other Long-Term Assets,12.8,13.16,12.31,8.7,9.66,9.3,8.22,6.52,8.96,1.31,7.06
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,21.97,17.65,14.33,12.07,9.48,6.47,4.93,1.84,1.34,1.51,1.58
Short-Term Debt,0.24,0.5,0.5,0.13,0.13,1.81,0.88,0.18,0.25,0.39,0.46
Taxes Payable,2.23,,1.78,2.05,2.07,2.21,1.22,0.76,0.26,0.34,0.38
Accrued Liabilities,6.27,6.66,6.63,7.25,9.0,8.81,7.64,9.8,5.84,5.62,5.9
Other Short-Term Liabilities,,2.23,,,,,0.67,,,,
Total Current Liabilities,30.71,27.04,23.25,21.51,20.7,19.3,15.34,12.57,7.69,7.86,8.32
Long-Term Debt,14.99,13.33,14.66,15.64,15.34,16.86,12.68,15.34,19.14,23.39,24.78
Other Long-Term Liabilities,16.9,16.58,16.67,15.7,16.65,15.3,14.16,14.52,16.48,17.97,17.53
Total Liabilities,62.6,56.95,54.58,52.85,52.69,51.45,42.18,42.44,43.31,49.22,50.63
Total Stockholders' Equity,37.4,43.05,45.42,47.15,47.31,48.55,57.82,57.56,56.69,50.78,49.37
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
