Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,31.54,33.74,30.0,26.82,24.7,21.09,25.43,28.26,27.94,29.27,21.43
Accounts Receivable,12.06,12.17,10.4,10.61,10.91,9.44,8.96,9.11,9.46,9.79,7.38
Inventory,39.79,37.08,45.77,47.8,43.08,45.19,38.18,35.56,36.75,39.75,50.11
Other Current Assets,0.4,0.41,0.3,0.31,1.3,1.01,1.66,2.29,2.91,1.85,1.48
Total Current Assets,83.78,83.4,86.48,85.54,80.0,76.73,74.23,75.22,77.06,80.66,80.4
Net PP&E,12.53,12.56,9.86,9.66,10.89,12.6,14.28,12.9,10.95,7.33,6.64
Intangibles,0.69,0.64,0.49,0.71,0.32,0.25,0.19,0.29,0.18,0.14,0.14
Other Long-Term Assets,3.0,3.41,3.17,4.1,8.79,10.42,11.31,11.6,11.81,11.86,12.82
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,31.12,23.81,32.35,31.46,32.28,33.17,27.04,,,,
Short-Term Debt,,,,,,,,,,,
Taxes Payable,1.9,2.11,2.21,2.41,1.84,,,,,,0.09
Accrued Liabilities,1.91,2.15,2.92,2.31,,,,,,,
Other Short-Term Liabilities,0.4,0.47,0.39,0.44,2.52,3.02,4.32,32.37,36.73,41.55,47.66
Total Current Liabilities,35.32,28.54,37.86,36.63,36.64,36.19,31.36,32.37,36.73,41.55,47.75
Long-Term Debt,,,,,,,,,,,
Other Long-Term Liabilities,,,,,0.42,0.48,0.62,0.68,0.77,0.82,1.02
Total Liabilities,35.32,28.54,37.86,36.63,37.06,36.67,31.97,33.06,37.5,42.37,48.77
Total Stockholders' Equity,64.68,71.46,62.14,63.37,62.94,63.33,68.03,66.94,62.5,57.63,51.23
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
