Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,12.67,14.95,17.13,18.71,22.25,26.92,29.21,33.56,34.21,35.4,35.4
Accounts Receivable,20.9,16.87,18.09,20.12,21.06,20.29,19.52,16.25,15.19,15.86,15.86
Inventory,12.53,10.14,12.71,12.14,10.98,10.53,9.45,8.36,7.42,7.8,7.8
Other Current Assets,6.94,7.62,6.55,7.21,5.81,5.22,4.98,5.03,2.12,2.67,2.67
Total Current Assets,53.04,49.58,54.47,58.19,60.1,62.96,63.15,63.2,58.93,61.73,61.73
Net PP&E,12.06,12.37,11.31,10.62,10.42,10.54,10.16,9.46,8.14,8.15,8.15
Intangibles,25.38,26.57,23.79,22.15,20.55,21.14,20.82,19.65,18.72,18.37,18.37
Other Long-Term Assets,9.52,11.48,10.42,9.04,8.93,5.35,5.87,7.69,14.2,11.75,11.75
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,9.52,7.28,9.18,8.61,9.72,9.35,8.36,8.15,7.65,8.7,8.7
Short-Term Debt,2.18,,,,2.79,3.06,5.22,,6.32,8.38,8.38
Taxes Payable,,,,1.34,0.92,1.26,1.26,1.34,1.01,1.05,1.05
Accrued Liabilities,,,,6.34,4.65,6.15,5.26,3.78,2.29,4.04,4.04
Other Short-Term Liabilities,16.67,14.72,16.57,8.87,9.1,6.6,7.08,7.47,10.56,7.78,7.78
Total Current Liabilities,28.37,22.0,25.74,25.16,27.17,26.43,27.16,20.73,27.82,29.96,29.96
Long-Term Debt,19.69,21.01,19.06,17.12,16.06,15.49,14.54,23.43,21.35,17.36,17.36
Other Long-Term Liabilities,15.18,26.42,24.44,24.64,23.92,13.85,15.63,20.6,22.8,15.48,15.48
Total Liabilities,63.24,69.43,69.24,66.92,67.15,55.76,57.33,64.76,71.98,62.81,62.81
Total Stockholders' Equity,36.76,30.57,30.76,33.08,32.85,44.24,42.67,35.24,28.02,37.19,37.19
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
