Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,48.28,37.47,48.19,55.4,56.36,58.14,64.43,64.2,68.34,69.08,64.29
Accounts Receivable,17.78,9.5,10.46,7.76,6.05,7.08,5.88,6.58,6.85,8.39,11.87
Inventory,9.57,16.05,9.22,7.69,6.13,6.55,5.35,6.71,5.67,8.07,8.72
Other Current Assets,1.45,1.68,1.31,0.94,1.79,2.7,1.91,1.85,1.26,1.2,1.37
Total Current Assets,77.08,64.7,69.18,71.79,70.33,74.47,77.57,79.34,82.13,86.74,86.26
Net PP&E,9.6,18.68,15.95,12.65,10.09,8.99,8.04,7.74,6.32,5.29,6.1
Intangibles,12.3,15.43,13.67,14.65,17.42,14.87,12.95,11.66,10.64,7.34,6.93
Other Long-Term Assets,1.02,1.19,1.2,0.91,2.17,1.68,1.44,1.26,0.91,0.63,0.71
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,13.13,6.53,9.61,6.37,6.03,5.56,4.47,4.07,4.02,4.93,5.2
Short-Term Debt,,,,,,,,,19.17,8.09,0.23
Taxes Payable,,,,0.1,,0.05,0.03,0.04,0.03,0.04,0.11
Accrued Liabilities,12.52,16.7,10.88,7.38,10.71,4.8,4.22,1.93,4.31,4.17,3.99
Other Short-Term Liabilities,0.16,,1.38,7.12,,4.82,4.32,6.4,4.37,0.95,0.92
Total Current Liabilities,25.81,23.24,21.87,20.97,16.75,15.22,13.04,12.44,31.9,18.17,10.45
Long-Term Debt,,,,,,,18.71,19.22,,20.15,20.19
Other Long-Term Liabilities,4.34,5.3,3.8,8.26,8.59,9.49,6.79,6.98,7.46,3.13,4.74
Total Liabilities,30.15,28.53,25.68,29.23,25.34,24.71,38.54,38.65,39.36,41.45,35.38
Total Stockholders' Equity,69.85,71.47,74.32,70.77,74.66,75.29,61.46,61.35,60.64,58.55,64.62
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
