Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1409.0,1885.0,2338.0,3085.0,4356.0,5261.0,6793.0,8442.0,9224.0,10743.0,12226.0
Gross Margin %,45.4,50.7,53.9,61.9,70.7,77.6,84.1,89.8,93.1,96.0,97.6
Operating Income USD Mil,138.0,289.0,471.0,787.0,1399.0,1830.0,2412.0,3073.0,3259.0,2906.0,4342.0
Operating Margin %,9.8,15.4,20.1,25.5,32.1,34.8,35.5,36.4,35.3,27.1,35.5
Net Income USD Mil,156.0,182.0,489.0,528.0,1056.0,1420.0,1893.0,2422.0,2551.0,2135.0,3570.0
Earnings Per Share USD,3.42,3.74,9.88,10.35,20.63,27.66,36.11,45.67,49.45,42.65,71.31
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,46.0,49.0,50.0,51.0,51.0,51.0,52.0,53.0,52.0,50.0,50.0
Book Value Per Share * USD,15.05,17.82,29.0,36.9,48.0,78.14,122.99,168.16,173.95,199.29,264.04
Operating Cash Flow USD Mil,156.0,316.0,510.0,777.0,1342.0,1786.0,2301.0,2914.0,3102.0,3925.0,4526.0
Cap Spending USD Mil,-16.0,-18.0,-15.0,-23.0,-47.0,-55.0,-84.0,-132.0,-174.0,-268.0,-276.0
Free Cash Flow USD Mil,140.0,297.0,495.0,755.0,1295.0,1731.0,2217.0,2783.0,2928.0,3656.0,4250.0
Free Cash Flow Per Share * USD,3.08,6.11,9.99,14.8,23.48,33.72,41.72,48.94,53.21,68.48,
Working Capital USD Mil,-82.0,77.0,614.0,1486.0,1961.0,4221.0,6099.0,3887.0,2114.0,2543.0,
