Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,23.0,17.12,17.46,34.64,20.86,21.53,12.61,15.28,24.56,15.09,13.77
Accounts Receivable,4.63,3.38,4.28,4.54,5.13,4.54,3.88,4.81,4.64,4.14,4.68
Inventory,6.06,7.38,5.53,5.95,5.76,5.61,4.52,4.65,5.01,4.9,5.45
Other Current Assets,9.24,11.31,12.58,4.91,4.62,5.49,13.73,5.41,4.94,7.21,2.18
Total Current Assets,42.92,39.18,39.85,50.03,36.38,37.18,34.74,30.16,39.16,31.33,26.09
Net PP&E,30.4,34.59,32.44,28.33,33.22,33.17,34.03,36.15,30.91,31.92,31.06
Intangibles,7.04,7.75,8.33,7.17,21.82,18.9,16.96,16.65,14.81,20.82,29.47
Other Long-Term Assets,19.64,18.47,19.38,14.47,8.58,10.75,14.27,17.05,15.12,15.93,13.39
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.24,4.71,3.55,3.62,4.16,3.58,3.21,2.99,2.0,2.18,2.8
Short-Term Debt,0.26,0.2,0.32,0.06,0.35,0.37,0.3,1.74,2.56,4.09,3.26
Taxes Payable,,,0.16,,,,,,,,
Accrued Liabilities,9.17,9.59,9.15,10.09,9.7,9.05,8.9,10.29,8.52,8.43,8.88
Other Short-Term Liabilities,1.73,0.91,1.12,0.98,2.71,2.29,2.27,2.4,2.12,3.21,1.34
Total Current Liabilities,15.4,15.42,14.3,14.76,16.91,15.29,14.69,17.42,15.2,17.91,16.28
Long-Term Debt,3.56,3.72,3.86,3.29,9.96,15.57,14.25,13.17,19.44,18.22,21.64
Other Long-Term Liabilities,4.2,3.79,3.3,3.72,8.57,8.43,7.98,8.66,6.09,5.43,6.27
Total Liabilities,23.16,22.93,21.45,21.77,35.44,39.3,36.92,39.25,40.73,41.56,44.18
Total Stockholders' Equity,76.84,77.07,78.55,78.23,64.56,60.7,63.08,60.75,59.27,58.44,55.82
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
