Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,847.0,559.0,616.0,681.0,772.0,874.0,965.0,1010.0,1059.0,1142.0,1156.0
Gross Margin %,71.6,71.2,72.9,77.0,78.6,80.8,80.6,81.3,81.8,82.6,83.2
Operating Income USD Mil,-246.0,-26.0,160.0,232.0,329.0,457.0,528.0,564.0,606.0,687.0,700.0
Operating Margin %,-29.0,-4.7,26.0,34.1,42.7,52.4,54.7,55.9,57.2,60.1,60.6
Net Income USD Mil,-149.0,-374.0,246.0,831.0,143.0,320.0,544.0,355.0,375.0,441.0,460.0
Earnings Per Share USD,-0.63,-1.9,1.28,4.64,0.86,1.95,3.49,2.52,2.82,3.42,3.69
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,238.0,201.0,193.0,179.0,167.0,164.0,156.0,141.0,133.0,129.0,124.0
Book Value Per Share * USD,6.85,0.26,3.0,3.91,-1.05,-0.06,-3.69,-6.32,-9.37,-11.34,-12.48
Operating Cash Flow USD Mil,470.0,482.0,395.0,215.0,336.0,538.0,579.0,601.0,651.0,668.0,683.0
Cap Spending USD Mil,-152.0,-119.0,-117.0,-81.0,-193.0,-53.0,-66.0,-39.0,-41.0,-27.0,-47.0
Free Cash Flow USD Mil,318.0,363.0,278.0,135.0,143.0,485.0,514.0,562.0,611.0,641.0,636.0
Free Cash Flow Per Share * USD,1.34,1.81,1.45,0.75,1.07,2.96,3.4,3.68,4.46,4.81,
Working Capital USD Mil,803.0,648.0,823.0,1525.0,789.0,948.0,-226.0,-430.0,465.0,320.0,
