Key Financials JPY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue JPY Mil,169172.0,160162.0,149036.0,154209.0,148578.0,153806.0,163658.0,171206.0,176894.0,180289.0,186773.0
Gross Margin %,35.5,33.0,36.0,35.2,34.0,35.9,36.9,38.0,40.0,41.3,41.7
Operating Income JPY Mil,24767.0,17437.0,19150.0,19817.0,15477.0,19548.0,22246.0,25347.0,28606.0,31438.0,33965.0
Operating Margin %,14.6,10.9,12.8,12.9,10.4,12.7,13.6,14.8,16.2,17.4,18.2
Net Income JPY Mil,15503.0,10052.0,12854.0,13018.0,11062.0,13879.0,16887.0,18199.0,22350.0,24026.0,26611.0
Earnings Per Share JPY,85.15,57.26,74.0,75.94,64.52,83.74,102.11,113.99,143.37,156.97,175.37
Dividends JPY,,,,,,,,,,28.0,60.0
Payout Ratio % *,,,,,,,,,,,34.2
Shares Mil,182.0,176.0,172.0,171.0,170.0,166.0,164.0,160.0,156.0,153.0,152.0
Book Value Per Share * JPY,,,,,,,,,,,8.5
Operating Cash Flow JPY Mil,18973.0,14635.0,26575.0,24914.0,21903.0,22839.0,23759.0,20452.0,29989.0,32491.0,33100.0
Cap Spending JPY Mil,-13831.0,-11128.0,-14442.0,-8946.0,-8817.0,-8296.0,-9169.0,-8821.0,-9333.0,-13485.0,-14059.0
Free Cash Flow JPY Mil,5142.0,3507.0,12133.0,15968.0,13086.0,14543.0,14590.0,11631.0,20656.0,19006.0,19041.0
Free Cash Flow Per Share * JPY,,,,,,,,,,,
Working Capital JPY Mil,47224.0,45386.0,53415.0,56628.0,61667.0,65650.0,65761.0,77414.0,84244.0,82899.0,
