Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,18.04,20.29,16.38,21.7,20.49,16.52,15.31,12.98,12.52,15.56,16.14
Accounts Receivable,13.83,11.22,13.95,13.41,12.59,11.3,11.41,10.22,11.45,12.28,11.66
Inventory,9.42,8.53,10.38,8.12,6.83,7.69,8.31,7.37,9.69,9.18,10.25
Other Current Assets,4.47,2.59,4.76,4.64,2.42,2.39,2.14,2.18,1.7,1.89,2.47
Total Current Assets,45.76,42.63,45.47,47.87,42.33,37.9,37.18,32.76,35.35,38.92,40.52
Net PP&E,32.01,29.53,29.85,25.61,23.06,22.56,22.63,21.42,22.64,21.27,19.99
Intangibles,9.17,13.88,13.47,15.54,15.24,13.82,12.29,12.49,25.51,21.47,20.08
Other Long-Term Assets,13.07,13.96,11.21,10.97,19.38,25.72,27.91,33.33,16.5,18.35,19.41
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.8,3.03,3.53,3.46,3.34,3.45,3.18,3.03,3.76,3.48,2.79
Short-Term Debt,1.54,20.01,0.1,0.5,4.52,0.03,2.87,7.23,0.02,4.99,8.23
Taxes Payable,,,1.26,1.48,0.78,0.42,0.72,0.25,1.01,0.31,0.96
Accrued Liabilities,,,3.26,2.75,7.65,2.73,2.68,2.04,2.72,2.31,1.91
Other Short-Term Liabilities,14.32,21.83,15.77,14.72,10.24,17.75,15.85,17.59,15.63,17.22,15.56
Total Current Liabilities,19.67,44.88,23.92,22.91,26.53,24.39,25.3,30.15,23.14,28.31,29.45
Long-Term Debt,17.15,15.8,24.16,21.84,16.24,16.05,11.92,14.44,22.41,21.56,23.08
Other Long-Term Liabilities,12.18,16.27,17.24,15.19,17.0,16.64,12.77,14.07,13.48,14.03,12.85
Total Liabilities,48.99,76.94,65.32,59.94,59.77,57.08,49.98,58.65,59.03,63.9,65.38
Total Stockholders' Equity,51.01,23.06,34.68,40.06,40.23,42.92,50.02,41.35,40.97,36.1,34.62
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
