Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,11090.0,11617.0,11664.0,12641.0,13074.0,13181.0,13905.0,14643.0,15069.0,15095.0,14542.0
Gross Margin %,32.1,31.0,28.2,29.9,31.8,27.9,26.0,25.4,24.9,26.2,25.2
Operating Income USD Mil,1573.0,2056.0,1387.0,1941.0,2929.0,1258.0,1348.0,1824.0,1332.0,2211.0,1773.0
Operating Margin %,14.2,17.7,11.9,15.4,22.4,9.5,9.7,12.5,8.8,14.6,12.2
Net Income USD Mil,756.0,903.0,636.0,985.0,1516.0,637.0,807.0,945.0,747.0,1450.0,1021.0
Earnings Per Share USD,1.68,1.98,1.42,2.2,3.39,1.41,1.76,2.04,1.61,3.05,2.04
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,457.0,460.0,449.0,447.0,447.0,453.0,459.0,463.0,465.0,484.0,519.0
Book Value Per Share * USD,,,,,3.19,1.06,20.01,49.3,,191.28,228.46
Operating Cash Flow USD Mil,2617.0,2188.0,2195.0,2140.0,2574.0,2012.0,2272.0,2378.0,2436.0,2802.0,2838.0
Cap Spending USD Mil,-1445.0,-1130.0,-1037.0,-1113.0,-905.0,-982.0,-1253.0,-2559.0,-10085.0,-1327.0,-1387.0
Free Cash Flow USD Mil,1172.0,1058.0,1157.0,1027.0,1668.0,1030.0,1019.0,-181.0,-7649.0,1475.0,1451.0
Free Cash Flow Per Share * USD,,,,,54.15,29.66,11.37,36.27,,-350.27,
Working Capital USD Mil,20.0,-882.0,189.0,74.0,527.0,5135.0,7762.0,8465.0,-1620.0,3755.0,
